Name ,Share price ,M Cap,Industry,Exchange
"HANKYU HANSHIN HOLDINGS, INC.",4308 JPY,7.02B,"Other Passenger Transportation, Ground & Sea",Tokyo Stock Exchange
"ONO PHARMACEUTICAL CO., LTD.",2194.5 JPY,6.94B,Generic Pharmaceuticals,Tokyo Stock Exchange
"CONCORDIA FINANCIAL GROUP, LTD.",831.4 JPY,6.79B,Commercial Banks,Tokyo Stock Exchange
AGC INC.,4660 JPY,6.78B,Other Construction Supplies & Fixtures,Tokyo Stock Exchange
KOKUSAI ELECTRIC CORPORATION,4275 JPY,6.73B,Semiconductor Machinery Manufacturing,Tokyo Stock Exchange
"TOYO SUISAN KAISHA, LTD.",9599 JPY,6.71B,Other Food Processing,Tokyo Stock Exchange
"SG HOLDINGS CO.,LTD.",1555 JPY,6.69B,Other Air Freight & Logistics,Tokyo Stock Exchange
YOKOGAWA ELECTRIC CORPORATION,3780 JPY,6.68B,Other Industrial Machinery & Equipment,Tokyo Stock Exchange
MEIJI HOLDINGS CO LTD,3508 JPY,6.54B,Other Food Processing,Tokyo Stock Exchange
"M3, INC.",1464 JPY,6.51B,Other Internet Services,Tokyo Stock Exchange
EBARA CORPORATION,2006.5 JPY,6.43B,Other Industrial Machinery & Equipment,Tokyo Stock Exchange
"KOBE BUSSAN CO., LTD.",4077 JPY,6.28B,Supermarkets & Convenience Stores,Tokyo Stock Exchange
"SEKISUI CHEMICAL CO., LTD.",2220.5 JPY,6.28B,Other Homebuilding,Tokyo Stock Exchange
"TOHO CO., LTD.",5384 JPY,6.21B,"Movie, TV Production & Distribution",Tokyo Stock Exchange
"SANRIO COMPANY, LTD.",3714 JPY,6.16B,"Gift, Novelty & Souvenir Stores",Tokyo Stock Exchange
"YAKULT HONSHA CO.,LTD.",3015 JPY,6.13B,Other Food Processing,Tokyo Stock Exchange
ISETAN MITSUKOSHI HOLDINGS LTD.,2330 JPY,6.09B,Retail - Department Stores,Tokyo Stock Exchange
MATSUKIYOCOCOKARA & CO.,2234 JPY,6.09B,Other Drug Retailers,Tokyo Stock Exchange
"THE CHIBA BANK, LTD.",1204.5 JPY,6.05B,Commercial Banks,Tokyo Stock Exchange
SEIKO EPSON CORPORATION,2643 JPY,5.99B,Computer Peripherals,Tokyo Stock Exchange
SCSK CORPORATION,2772 JPY,5.88B,Computer Programming,Tokyo Stock Exchange
SEIBU HOLDINGS INC.,2810 JPY,5.84B,"Other Passenger Transportation, Ground & Sea",Tokyo Stock Exchange
"NITERRA CO., LTD.",4210 JPY,5.81B,"Other Auto, Truck & Motorcycle Parts",Tokyo Stock Exchange
IHI CORPORATION,5891 JPY,5.79B,Industrial Machinery,Tokyo Stock Exchange
"MCDONALD'S HOLDINGS COMPANY (JAPAN), LTD.",6410 JPY,5.78B,Quick Service Restaurants,Tokyo Stock Exchange
"KAWASAKI HEAVY INDUSTRIES, LTD.",4876 JPY,5.69B,Consumer Goods Conglomerates,Tokyo Stock Exchange
"RICOH COMPANY, LTD.",1415 JPY,5.68B,Other Office Equipment,Tokyo Stock Exchange
JAPAN REAL ESTATE INVESTMENT CORPORATION,558000 JPY,5.4B,Office REITs,Tokyo Stock Exchange
TOTO LTD,4694 JPY,5.39B,Other Construction Supplies & Fixtures,Tokyo Stock Exchange
MAZDA MOTOR CORPORATION,1222 JPY,5.3B,Other Auto & Truck Manufacturers,Tokyo Stock Exchange
"SHINKO ELECTRIC INDUSTRIES CO., LTD.",5698 JPY,5.29B,Other Semiconductors,Tokyo Stock Exchange
TIS INC.,3394 JPY,5.29B,Other IT Services & Consulting,Tokyo Stock Exchange
"HITACHI CONSTRUCTION MACHINERY CO., LTD.",3506 JPY,5.15B,Other Heavy Machinery & Vehicles,Tokyo Stock Exchange
MISUMI GROUP INC.,2690.5 JPY,5.15B,Industrial Parts & Components,Tokyo Stock Exchange
SOJITZ CORPORATION,3426 JPY,512.74Cr,Diversified Industrial Goods Wholesale,Tokyo Stock Exchange
"FUKUOKA FINANCIAL GROUP, INC.",3824 JPY,508.83Cr,Other Banks,Tokyo Stock Exchange
"IBIDEN CO.,LTD.",5203 JPY,506.41Cr,Other Semiconductors,Tokyo Stock Exchange
TOKYO CENTURY CORPORATION,1514.5 JPY,506.14Cr,Commercial Leasing,Tokyo Stock Exchange
"KEISEI ELECTRIC RAILWAY CO., LTD",4520 JPY,504.75Cr,"Other Passenger Transportation, Ground & Sea",Tokyo Stock Exchange
"SHIZUOKA FINANCIAL GROUP,INC.",1348.5 JPY,503.87Cr,Other Banks,Tokyo Stock Exchange
"ROHTO PHARMACEUTICAL CO.,LTD.",3325 JPY,499.81Cr,Other Pharmaceuticals,Tokyo Stock Exchange
"NIPPON PROLOGIS REIT, INC.",257900 JPY,498.73Cr,Industrial REITs,Tokyo Stock Exchange
TOKYU FUDOSAN HOLDINGS CORPORATION,1023.5 JPY,498.37Cr,Other Real Estate Development & Operations,Tokyo Stock Exchange
"KYOTO FINANCIAL GROUP,INC.",2476 JPY,496.99Cr,Other Banks,Tokyo Stock Exchange
"ABC-MART,INC.",2960.5 JPY,492.49Cr,Footwear Retailers,Tokyo Stock Exchange
"MITSUI CHEMICALS, INC.",3752 JPY,490.57Cr,Other Commodity Chemicals,Tokyo Stock Exchange
"KYUSHU ELECTRIC POWER COMPANY, INCORPORATED",1505 JPY,487.9Cr,Other Electric Utilities,Tokyo Stock Exchange
"RYOHIN KEIKAKU CO., LTD.",2710 JPY,487.78Cr,Other Department Stores,Tokyo Stock Exchange
"BROTHER INDUSTRIES, LTD.",2728 JPY,484.5Cr,Other Office Equipment,Tokyo Stock Exchange
"NOMURA REAL ESTATE HOLDINGS, INC.",4084 JPY,482.38Cr,Other Real Estate Development & Operations,Tokyo Stock Exchange
"NOMURA REAL ESTATE MASTER FUND, INC.",149700 JPY,481.58Cr,Diversified REITs,Tokyo Stock Exchange
SANWA HOLDINGS CORPORATION,3110 JPY,477.63Cr,Other Construction Supplies & Fixtures,Tokyo Stock Exchange
"COSMO ENERGY HOLDINGS CO., LTD.",7905 JPY,473.77Cr,Other Oil & Gas Refining and Marketing,Tokyo Stock Exchange
"KOBE STEEL, LTD.",1740 JPY,472.71Cr,Other Steel,Tokyo Stock Exchange
"ASAHI INTECC CO., LTD.",2529 JPY,470.27Cr,Medical Equipment,Tokyo Stock Exchange
"BAYCURRENT CONSULTING, INC.",4339 JPY,462.64Cr,Management Consulting Services,Tokyo Stock Exchange
"SUMITOMO CHEMICAL CO., LTD.",417.7 JPY,460.46Cr,Diversified Chemicals,Tokyo Stock Exchange
NISSAN CHEMICAL CORPORATION,4913 JPY,459.47Cr,Diversified Chemicals,Tokyo Stock Exchange
"ROHM CO., LTD.",1757.5 JPY,458.21Cr,Other Semiconductors,Tokyo Stock Exchange
HOSHIZAKI CORPORATION,4630 JPY,452.92Cr,Other Industrial Machinery & Equipment,Tokyo Stock Exchange
"GMO PAYMENT GATEWAY, INC.",9218 JPY,450.61Cr,Transaction & Payment Services,Tokyo Stock Exchange
NS SOLUTIONS CORPORATION,3555 JPY,449.91Cr,Technology Consulting & Outsourcing Services,Tokyo Stock Exchange
KURITA WATER INDUSTRIES LTD.,5790 JPY,449.28Cr,Other Environmental Services & Equipment,Tokyo Stock Exchange
GLP J-REIT,133000 JPY,448.74Cr,Industrial REITs,Tokyo Stock Exchange
"OPEN HOUSE GROUP CO., LTD.",5668 JPY,446.01Cr,Residential Real Estate Development,Tokyo Stock Exchange
"TBS HOLDINGS,INC.",3981 JPY,442.49Cr,Other Broadcasting,Tokyo Stock Exchange
KDX REALTY INVESTMENT CORPORATION,157900 JPY,442.22Cr,Office REITs,Tokyo Stock Exchange
RESONAC HOLDING CORPORATION,3556 JPY,442.18Cr,Other Commodity Chemicals,Tokyo Stock Exchange
SHIMIZU CORPORATION,928.5 JPY,441.79Cr,Other Construction & Engineering,Tokyo Stock Exchange
JAPAN METROPOLITAN FUND INVESTMENT CORPORATION,92600 JPY,440.66Cr,Other Commercial REITs,Tokyo Stock Exchange
"KINTETSU GROUP HOLDINGS CO.,LTD.",3366 JPY,440.31Cr,"Other Passenger Transportation, Ground & Sea",Tokyo Stock Exchange
"SANTEN PHARMACEUTICAL CO., LTD.",1800 JPY,436.81Cr,Other Pharmaceuticals,Tokyo Stock Exchange
"HIROSE ELECTRIC CO.,LTD.",18700 JPY,435.66Cr,Electronic Component,Tokyo Stock Exchange
"USS CO., LTD.",1315 JPY,435.4Cr,E-commerce & Auction Services,Tokyo Stock Exchange
"TOHOKU ELECTRIC POWER COMPANY, INCORPORATED",1282 JPY,434.29Cr,Other Electric Utilities,Tokyo Stock Exchange
SUMCO CORPORATION,1787.5 JPY,427.93Cr,Other Semiconductors,Tokyo Stock Exchange
"PERSOL HOLDINGS CO.,LTD.",273.6 JPY,427.83Cr,Other Employment Services,Tokyo Stock Exchange
KINDEN CORPORATION,3072 JPY,425.64Cr,Other Construction & Engineering,Tokyo Stock Exchange
