Name ,Share price ,M Cap,Industry,Exchange
"TOKAI LEASE CO.,LTD.",1836 JPY,4.38Cr,Industrial Real Estate Development,Tokyo Stock Exchange
"SUN-LIFE HOLDING CO.,LTD.",1049 JPY,4.38Cr,Other Personal Services,Tokyo Stock Exchange
"POWDERTECH CO., LTD.",2189 JPY,4.37Cr,Other Commodity Chemicals,Tokyo Stock Exchange
"GANTAN BEAUTY INDUSTRY CO., LTD.",1670 JPY,4.37Cr,Other Construction Supplies & Fixtures,Tokyo Stock Exchange
"YOTTAVIAS CO.,LTD.",3200 JPY,4.37Cr,Other Construction & Engineering,Tokyo Stock Exchange
"BROADBAND SECURITY, INC.",1461 JPY,4.37Cr,Internet Security & Transactions Services,Tokyo Stock Exchange
"MICRON MACHINERY CO., LTD.",1300 JPY,4.36Cr,Machine Tools,Tokyo Stock Exchange
PHOTOSYNTH INC.,399 JPY,4.36Cr,Security Services,Tokyo Stock Exchange
"KOSE R.E. CO.,LTD.",620 JPY,4.35Cr,Residential Real Estate Development,Tokyo Stock Exchange
GREENLAND RESORT COMPANY LIMITED,609 JPY,4.34Cr,Amusement Parks and Zoos,Tokyo Stock Exchange
"NIHON DECOLUXE CO., LTD.",7770 JPY,4.34Cr,Construction Supplies,Tokyo Stock Exchange
"CHEMIPRO KASEI KAISHA, LTD.",390 JPY,4.34Cr,Other Commodity Chemicals,Tokyo Stock Exchange
"SAIBO CO., LTD.",485 JPY,4.34Cr,Other Textiles & Leather Goods,Tokyo Stock Exchange
ZENKEN CORPORATION,514 JPY,4.34Cr,Other IT Services & Consulting,Tokyo Stock Exchange
"TAY TWO CO., LTD.",99 JPY,4.33Cr,Other Miscellaneous Specialty Retailers,Tokyo Stock Exchange
"MONOAI TECHNOLOGY CO.,LTD.",504 JPY,4.33Cr,Other Software,Tokyo Stock Exchange
"KANESO CO.,LTD.",4730 JPY,4.32Cr,Other Construction Supplies & Fixtures,Tokyo Stock Exchange
"HORAI CO., LTD.",4500 JPY,4.32Cr,Dairy Products,Tokyo Stock Exchange
"S.ISHIMITSU & CO.,LTD.",810 JPY,4.32Cr,Food Wholesale,Tokyo Stock Exchange
"HOTEL NEWGRAND CO.,LTD.",5400 JPY,4.32Cr,Other Restaurants & Bars,Tokyo Stock Exchange
CARE TWENTYONE CORPORATION,467 JPY,4.31Cr,Other Healthcare Facilities & Services,Tokyo Stock Exchange
RAY CORPORATION,458 JPY,4.31Cr,Other Advertising & Marketing,Tokyo Stock Exchange
"TAKIZAWA HAM CO., LTD.",3035 JPY,4.31Cr,Animal Slaughtering & Processing,Tokyo Stock Exchange
"NO.1 CO.,LTD",984 JPY,4.31Cr,Office Supplies Wholesale,Tokyo Stock Exchange
"OKAYAMA PAPER INDUSTRIES CO., LTD.",1326 JPY,4.3Cr,Paper Mills & Products,Tokyo Stock Exchange
SUZUYO SHINWART CORPORATION,2180 JPY,4.3Cr,Other IT Services & Consulting,Tokyo Stock Exchange
SINOPS INC.,1009 JPY,4.3Cr,Other Software,Tokyo Stock Exchange
"ASO INTERNATIONAL, INC.",1302 JPY,4.29Cr,Medical Prosthetics,Tokyo Stock Exchange
"KUZE CO., LTD.",1348 JPY,4.28Cr,Food Wholesale,Tokyo Stock Exchange
"KRINGLE PHARMA, INC.",915 JPY,42.76M,Other Biotechnology & Medical Research,Tokyo Stock Exchange
GMB CORPORATION,1151 JPY,42.65M,Automotive Systems,Tokyo Stock Exchange
"COSMO BIO COMPANY,LIMITED",1057 JPY,42.64M,Diagnostic & Testing Substances Manufacturers,Tokyo Stock Exchange
"LIFE FOODS CO., LTD.",1690 JPY,42.57M,Other Restaurants & Bars,Tokyo Stock Exchange
"MK SEIKO CO., LTD.",423 JPY,42.5M,Commercial Equipment,Tokyo Stock Exchange
"CAR MATE MFG. CO., LTD.",888 JPY,42.36M,Automotive Accessories,Tokyo Stock Exchange
"DAITO KOUN CO.,LTD.",713 JPY,42.3M,Deep Sea Freight,Tokyo Stock Exchange
"ONO SOKKI CO., LTD.",591 JPY,42.27M,Testing & Measuring Equipment,Tokyo Stock Exchange
"GIFU LANDSCAPE ARCHITECT CO., LTD.",1900 JPY,42.2M,Other Construction & Engineering,Tokyo Stock Exchange
SPACE SHOWER SKIYAKI HOLDINGS INC.,370 JPY,42.17M,Other Entertainment Production,Tokyo Stock Exchange
AI CROSS INC.,1601 JPY,42.11M,Other Software,Tokyo Stock Exchange
EDGE TECHNOLOGY INC.,556 JPY,42.08M,Other IT Services & Consulting,Tokyo Stock Exchange
"CHARLE CO.,LTD.",385 JPY,42.04M,Apparel Wholesale,Tokyo Stock Exchange
ASIRO INC.,856 JPY,42.03M,Other Internet Services,Tokyo Stock Exchange
"HASEGAWA CO., LTD.",336 JPY,42.03M,Other Miscellaneous Specialty Retailers,Tokyo Stock Exchange
"FOODISON, INC.",1355 JPY,41.98M,Fishing & Farming Wholesale,Tokyo Stock Exchange
HONYAKU CENTER INC.,1820 JPY,41.97M,Translation & Interpretation Services,Tokyo Stock Exchange
KAJI TECHNOLOGY CORPORATION,3685 JPY,41.97M,Air & Gas Compressors,Tokyo Stock Exchange
"KAWATA MFG. CO., LTD.",870 JPY,41.97M,Industrial Machinery,Tokyo Stock Exchange
"RECOMM CO., LTD.",74 JPY,41.9M,Other Miscellaneous Specialty Retailers,Tokyo Stock Exchange
"C.S. LUMBER CO., INC",3230 JPY,41.86M,Wood Products,Tokyo Stock Exchange
FULLTECH CO.LTD.,1137 JPY,41.83M,Other Construction & Engineering,Tokyo Stock Exchange
"YOKOHAMA MARUUO CO., LTD.",949 JPY,41.82M,Fishing & Farming Wholesale,Tokyo Stock Exchange
"THE MINAMI-NIPPON BANK,LTD.",754 JPY,41.82M,Commercial Banks,Tokyo Stock Exchange
ASAHIPEN CORPORATION,1753 JPY,41.81M,Paint & Coating,Tokyo Stock Exchange
"YASHIMA & CO.,LTD.",2120 JPY,41.75M,Other Industrial Machinery & Equipment,Tokyo Stock Exchange
"ESCROW AGENT JAPAN, INC.",140 JPY,41.72M,Other Real Estate Services,Tokyo Stock Exchange
DAWN CORP.,2024 JPY,41.69M,Application Software,Tokyo Stock Exchange
"PUEQU CO.,LTD.",1340 JPY,41.67M,Other Industrial Machinery & Equipment,Tokyo Stock Exchange
"YUKI GOSEI KOGYO CO., LTD.",275 JPY,41.58M,Diversified Chemicals,Tokyo Stock Exchange
"THE KANESHITA CONSTRUCTION CO.,LTD.",2826 JPY,41.55M,Other Construction & Engineering,Tokyo Stock Exchange
"ENCHO CO.,LTD.",877 JPY,41.39M,Other Home Improvement Products & Services Retailers,Tokyo Stock Exchange
"NIPPON KOSHUHA STEEL CO.,LTD.",414 JPY,41.33M,"Iron, Steel Mills & Foundries",Tokyo Stock Exchange
"UNIFORM NEXT CO., LTD.",594 JPY,41.31M,Industrial Clothing & Uniforms,Tokyo Stock Exchange
LANDIX INC.,2133 JPY,41.25M,Residential Real Estate Services,Tokyo Stock Exchange
OKUMURA ENGINEERING CORP.,1311 JPY,41.06M,Industrial Valve Manufacturing,Tokyo Stock Exchange
CONVANO INC.,1396 JPY,41.03M,Personal Care Services,Tokyo Stock Exchange
"ELITZ HOLDINGS CO., LTD.",1735 JPY,41.03M,Other Real Estate Development & Operations,Tokyo Stock Exchange
"NISSIN SHOJI CO.,LTD.",890 JPY,41.01M,Other Oil & Gas Refining and Marketing,Tokyo Stock Exchange
"SK JAPAN CO.,LTD.",727 JPY,40.95M,Other Toys & Juvenile Products,Tokyo Stock Exchange
TEAMSPIRIT INC.,372 JPY,40.95M,Enterprise Software,Tokyo Stock Exchange
"KANDA TSUSHINKI CO., LTD.",2589 JPY,40.87M,Other Communications & Networking,Tokyo Stock Exchange
"COMINIX CO.,LTD.",863 JPY,40.87M,Other Industrial Machinery & Equipment,Tokyo Stock Exchange
KEYWARE SOLUTIONS INC.,736 JPY,40.81M,Enterprise Software,Tokyo Stock Exchange
"DAIKO TSUSAN CO.,LTD.",1121 JPY,40.79M,Electric Equipment Wholesale,Tokyo Stock Exchange
"NIPPON SEIRO CO., LTD.",278 JPY,40.75M,Other Oil & Gas Refining and Marketing,Tokyo Stock Exchange
"SERENDIP HOLDINGS CO.,LTD.",1307 JPY,40.75M,Automotive Accessories,Tokyo Stock Exchange
"NIPPON TUNGSTEN CO., LTD.",1217 JPY,40.75M,Other Industrial Machinery & Equipment,Tokyo Stock Exchange
S&J CORPORATION,1039 JPY,40.72M,Other IT Services & Consulting,Tokyo Stock Exchange
XNET CORPORATION,1420 JPY,40.66M,Other IT Services & Consulting,Tokyo Stock Exchange
"GREEN EARTH INSTITUTE CO., LTD.",515 JPY,40.57M,Other Specialty Chemicals,Tokyo Stock Exchange
"NIPPON CHEMIPHAR CO., LTD.",1639 JPY,40.46M,Other Pharmaceuticals,Tokyo Stock Exchange
TAIHEIYO KOUHATSU INCORPORATED,757 JPY,40.45M,Coal Wholesale,Tokyo Stock Exchange
"INTERNATIONAL CONGLOMERATE OF DISTRIBUTION FOR AUTOMOBILE HOLDINGS CO., LTD.",2828 JPY,40.44M,"Other Auto Vehicles, Parts & Service Retailers",Tokyo Stock Exchange
AERIA INC.,265 JPY,40.42M,Internet Gaming,Tokyo Stock Exchange
"STMN, INC.",673 JPY,40.4M,Other Business Support Services,Tokyo Stock Exchange
HPC SYSTEMS INC.,1355 JPY,40.38M,Other Computer Hardware,Tokyo Stock Exchange
"AZUMA HOUSE CO., LTD.",728 JPY,40.37M,Residential Real Estate Development,Tokyo Stock Exchange
MORTGAGE SERVICE JAPAN LIMITED,401 JPY,40.35M,Property Insurance,Tokyo Stock Exchange
"COCORPORT, INC.",1567 JPY,40.3M,Other Personal Services,Tokyo Stock Exchange
"TOKAI SOFT CO., LTD.",1235 JPY,40.27M,Other Software,Tokyo Stock Exchange
"V-CUBE, INC.",252 JPY,40.23M,Other IT Services & Consulting,Tokyo Stock Exchange
NAIKAI ZOSEN CORPORATION,3395 JPY,40.22M,Other Shipbuilding,Tokyo Stock Exchange
"KITAGAWA SEIKI CO.,LTD.",718 JPY,40.2M,Other Industrial Machinery & Equipment,Tokyo Stock Exchange
"SUN MESSE CO., LTD.",378 JPY,40.19M,Other Commercial Printing Services,Tokyo Stock Exchange
"FUJI ELECTRIC INDUSTRY CO., LTD.",1061 JPY,40.18M,Other Electrical Components & Equipment,Tokyo Stock Exchange
ICHIGO GREEN INFRASTRUCTURE INVESTMENT CORPORATION,56000 JPY,40.16M,Closed End Funds,Tokyo Stock Exchange
"INTERSPACE CO.,LTD.",937 JPY,40.15M,Other Advertising & Marketing,Tokyo Stock Exchange
"MARUHACHI SECURITIES CO., LTD.",1482 JPY,40.06M,Brokerage Services,Tokyo Stock Exchange
"JB ELEVEN CO., LTD.",700 JPY,40.02M,Other Restaurants & Bars,Tokyo Stock Exchange
"AVIC CO., LTD.",1010 JPY,40.01M,Other Advertising & Marketing,Tokyo Stock Exchange
"INTRANCE CO.,LTD.",125 JPY,39.94M,Other Real Estate Development & Operations,Tokyo Stock Exchange
JEDAT INC.,1509 JPY,39.93M,Programming Software & Testing Tools,Tokyo Stock Exchange
"ISAMU PAINT CO., LTD.",3020 JPY,39.85M,Paint & Coating,Tokyo Stock Exchange
TOSNET CORPORATION,1232 JPY,39.76M,Security Services,Tokyo Stock Exchange
"MAC HOUSE CO.,LTD.",371 JPY,39.69M,Men's Clothing,Tokyo Stock Exchange
"TOKAI ELECTRONICS CO.,LTD.",2732 JPY,39.69M,Other Electronic Equipment & Parts,Tokyo Stock Exchange
"EXTREME CO.,LTD.",1057 JPY,39.68M,Other IT Services & Consulting,Tokyo Stock Exchange
"WAIDA MFG. CO.,LTD.",888 JPY,39.67M,Other Industrial Machinery & Equipment,Tokyo Stock Exchange
"MONSTAR LAB, INC.",162 JPY,39.67M,Other IT Services & Consulting,Tokyo Stock Exchange
"SHIGEMATSU WORKS CO., LTD.",801 JPY,3.96Cr,Ambulance & Emergency Services,Tokyo Stock Exchange
"LEOCLAN CO.,LTD.",2935 JPY,3.95Cr,"Other Medical Equipment, Supplies & Distribution",Tokyo Stock Exchange
"PRORED PARTNERS CO.,LTD.",526 JPY,3.95Cr,Management Consulting Services,Tokyo Stock Exchange
"NAKANIHON KOGYO CO.,LTD.",10800 JPY,3.95Cr,Movie Theaters & Movie Products,Tokyo Stock Exchange
"PROPERST CO., LTD.",170 JPY,3.95Cr,Residential Real Estate Development,Tokyo Stock Exchange
WAQOO INC.,1600 JPY,3.94Cr,Beauty Supply Shop,Tokyo Stock Exchange
GLOBEE INC.,1143 JPY,3.94Cr,Miscellaneous Educational Service Providers,Tokyo Stock Exchange
W TOKYO INC.,2130 JPY,3.93Cr,Other Business Support Services,Tokyo Stock Exchange
"ENISH,INC.",205 JPY,3.92Cr,Mobile Application Software,Tokyo Stock Exchange
"CANDEAL CO.,LTD",629 JPY,3.92Cr,Civil Engineers & Architects,Tokyo Stock Exchange
ONODANI KIKO K.K.,780 JPY,3.92Cr,Other Industrial Machinery & Equipment,Tokyo Stock Exchange
SANOYAS HOLDINGS CORPORATION,172 JPY,3.91Cr,Other Industrial Machinery & Equipment,Tokyo Stock Exchange
SYSTEMSOFT CORPORATION,69 JPY,3.91Cr,Other IT Services & Consulting,Tokyo Stock Exchange
"SEKI CO., LTD.",1350 JPY,3.9Cr,Other Commercial Printing Services,Tokyo Stock Exchange
NULAB INC.,854 JPY,3.89Cr,Other Software,Tokyo Stock Exchange
"AXIS CO.,LTD.",1351 JPY,3.88Cr,System Software,Tokyo Stock Exchange
"NANKAI CHEMICAL COMPANY,LIMITED",2818 JPY,3.88Cr,Diversified Chemicals,Tokyo Stock Exchange
ICECO INC.,2887 JPY,3.88Cr,Food Wholesale,Tokyo Stock Exchange
"TOKAI KISEN CO., LTD.",2572 JPY,3.88Cr,Inland Water Freight,Tokyo Stock Exchange
"NOMURA SYSTEM CORPORATION CO, LTD.",122 JPY,3.87Cr,Other IT Services & Consulting,Tokyo Stock Exchange
"C'BON COSMETICS CO.,LTD.",1313 JPY,3.87Cr,Cosmetics & Perfumes,Tokyo Stock Exchange
NOUSOUKEN CORPORATION,259 JPY,3.86Cr,Fishing & Farming Wholesale,Tokyo Stock Exchange
"SHINTO HOLDINGS, INC.",151 JPY,3.85Cr,Apparel Wholesale,Tokyo Stock Exchange
"MOBILE FACTORY, INC.",759 JPY,3.84Cr,Other Software,Tokyo Stock Exchange
"TOKYO KISEN CO.,LTD.",570 JPY,3.84Cr,Port Operators,Tokyo Stock Exchange
IFIS JAPAN LTD.,573 JPY,3.83Cr,Other Business Support Services,Tokyo Stock Exchange
"ECHO TRADING CO., LTD.",923 JPY,3.82Cr,Food Wholesale,Tokyo Stock Exchange
"TSUNAGU GROUP HOLDINGS, INC.",659 JPY,3.81Cr,Other Employment Services,Tokyo Stock Exchange
"KIKUKAWA ENTERPRISE, INC.",4655 JPY,3.81Cr,Industrial Machinery,Tokyo Stock Exchange
BIKE O & COMPANY LTD.,400 JPY,3.8Cr,Motorcycle Dealers,Tokyo Stock Exchange
GIXO LTD.,979 JPY,3.8Cr,Other IT Services & Consulting,Tokyo Stock Exchange
"TENSHO ELECTRIC INDUSTRIES CO., LTD.",321 JPY,3.78Cr,Plastics,Tokyo Stock Exchange
"INTELLEX CO., LTD.",688 JPY,3.77Cr,Residential Real Estate Development,Tokyo Stock Exchange
"GINZA RENOIR CO., LTD.",894 JPY,3.76Cr,Cafés,Tokyo Stock Exchange
"JESCO HOLDINGS, INC.",787 JPY,3.76Cr,Other Construction & Engineering,Tokyo Stock Exchange
"JTP CO.,LTD.",983 JPY,3.75Cr,Technology Consulting & Outsourcing Services,Tokyo Stock Exchange
"ARR PLANNER CO., LTD.",1022 JPY,3.75Cr,Other Homebuilding,Tokyo Stock Exchange
DLE INC.,130 JPY,3.74Cr,Other Advertising & Marketing,Tokyo Stock Exchange
COMMERCE ONE HOLDINGS INC.,759 JPY,3.74Cr,Other IT Services & Consulting,Tokyo Stock Exchange
"WILLTEC CO.,LTD.",854 JPY,3.74Cr,Outsourcing & Staffing Services,Tokyo Stock Exchange
"NICHIWA SANGYO CO., LTD.",298 JPY,3.74Cr,Animal Feed,Tokyo Stock Exchange
"MEDIA KOBO, INC.",538 JPY,3.74Cr,Other Internet Services,Tokyo Stock Exchange
SHOWA SYSTEM ENGINEERING CORPORATION,1256 JPY,3.74Cr,Other IT Services & Consulting,Tokyo Stock Exchange
IRRC CORPORATION,661 JPY,3.73Cr,Other Multiline Insurance & Brokers,Tokyo Stock Exchange
"NIFTY LIFESTYLE CO., LTD.",860 JPY,3.73Cr,Other Internet Services,Tokyo Stock Exchange
DRAFT INC.,536 JPY,3.72Cr,Other Construction & Engineering,Tokyo Stock Exchange
KIDSWELL BIO CORPORATION,137 JPY,3.71Cr,Bio Therapeutic Drugs,Tokyo Stock Exchange
"SOPHIA HOLDINGS CO.,LTD.",1153 JPY,3.71Cr,Other Drug Retailers,Tokyo Stock Exchange
"HOKUETSU METAL CO., LTD.",1395 JPY,3.69Cr,Other Steel,Tokyo Stock Exchange
"TENDA CO.,LTD.",815 JPY,3.69Cr,Other IT Services & Consulting,Tokyo Stock Exchange
SOLEKIA LIMITED,6250 JPY,3.68Cr,Other IT Services & Consulting,Tokyo Stock Exchange
"TANAKA CO.,LTD.",666 JPY,3.68Cr,Electric Equipment Wholesale,Tokyo Stock Exchange
"TAKAMISAWA CO., LTD.",3210 JPY,3.68Cr,Other Construction Materials,Tokyo Stock Exchange
PACIFIC SYSTEMS CORPORATION,3610 JPY,3.67Cr,Other IT Services & Consulting,Tokyo Stock Exchange
FOUNDER'S CONSULTANTS HOLDINGS INC.,832 JPY,3.67Cr,Civil Engineers & Architects,Tokyo Stock Exchange
INCLUSIVE INC.,532 JPY,3.67Cr,Other Advertising & Marketing,Tokyo Stock Exchange
"KOUKANDEKIRUKUN, INC.",2280 JPY,3.67Cr,E-commerce & Auction Services,Tokyo Stock Exchange
BRIDGE INTERNATIONAL CORP.,1452 JPY,3.66Cr,Management Consulting Services,Tokyo Stock Exchange
"CIRCULATION CO.,LTD.",615 JPY,3.66Cr,Other Business Support Services,Tokyo Stock Exchange
DNA CHIP RESEARCH INC.,798 JPY,3.66Cr,Other Biotechnology & Medical Research,Tokyo Stock Exchange
"SUN A.KAKEN COMPANY,LIMITED",506 JPY,3.65Cr,Plastic Containers & Packaging,Tokyo Stock Exchange
"JAPAN CRAFT HOLDINGS CO., LTD.",143 JPY,3.65Cr,Other Textiles & Leather Goods,Tokyo Stock Exchange
"OKAYA ELECTRIC INDUSTRIES CO., LTD.",236 JPY,3.65Cr,Other Electrical Components & Equipment,Tokyo Stock Exchange
"RENTRACKS CO.,LTD.",680 JPY,3.64Cr,Other Advertising & Marketing,Tokyo Stock Exchange
"OTANI KOGYO CO.,LTD.",7150 JPY,3.63Cr,Smart Grid & Electrical Transmission,Tokyo Stock Exchange
AXIS CONSULTING CORPORATION,1048 JPY,3.63Cr,Executive Search Services,Tokyo Stock Exchange
M - MART INC.,1091 JPY,3.63Cr,E-commerce & Auction Services,Tokyo Stock Exchange
ASMO CORPORATION,394 JPY,3.63Cr,Other Restaurants & Bars,Tokyo Stock Exchange
TORQ INC.,214 JPY,3.62Cr,Industrial Machinery & Equipment Wholesale,Tokyo Stock Exchange
"NANKAI PLYWOOD CO.,LTD.",5460 JPY,3.62Cr,Other Construction Supplies & Fixtures,Tokyo Stock Exchange
"URERU NET ADVERTISING CO.,LTD.",1480 JPY,3.62Cr,Other Advertising & Marketing,Tokyo Stock Exchange
"SEIYU KOGYO CO.,LTD.",1752 JPY,3.61Cr,"Waste Management, Disposal & Recycling Services",Tokyo Stock Exchange
"WAVELOCK HOLDINGS CO., LTD.",623 JPY,3.61Cr,Plastic Containers & Packaging,Tokyo Stock Exchange
"HYBRID TECHNOLOGIES CO., LTD.",460 JPY,3.61Cr,Other Software,Tokyo Stock Exchange
"ENJIN CO., LTD.",758 JPY,3.6Cr,Public Relations,Tokyo Stock Exchange
SEIWA CHUO HOLDINGS CORPORATION,1330 JPY,3.6Cr,Other Steel,Tokyo Stock Exchange
"J-REX CORPORATION CO., LTD.",1500 JPY,3.6Cr,Residential Real Estate Development,Tokyo Stock Exchange
"TVE CO., LTD.",2205 JPY,3.6Cr,Industrial Valve Manufacturing,Tokyo Stock Exchange
"TAKAMATSU MACHINERY CO., LTD.",486 JPY,3.59Cr,Machine Tools,Tokyo Stock Exchange
"KAINOS LABORATORIES, INC.",1171 JPY,3.59Cr,Diagnostic & Testing Substances,Tokyo Stock Exchange
"HOTTOLINK, INC.",347 JPY,35.93M,Marketing Consulting Services,Tokyo Stock Exchange
ACMOS INC.,527 JPY,35.88M,Other IT Services & Consulting,Tokyo Stock Exchange
"APPLE INTERNATIONAL CO., LTD.",403 JPY,35.86M,Auto & Truck Wholesale,Tokyo Stock Exchange
"AMG HOLDINGS CO.,LTD.",1816 JPY,35.85M,Residential Real Estate Development,Tokyo Stock Exchange
O'WILL CORPORATION,1741 JPY,35.8M,Food Wholesale,Tokyo Stock Exchange
"TEA LIFE CO., LTD.",1222 JPY,35.8M,Internet & Mail Order Department Stores,Tokyo Stock Exchange
CYFUSE BIOMEDICAL K.K.,661 JPY,35.78M,Other Biotechnology & Medical Research,Tokyo Stock Exchange
LIGHTWORKS CORPORATION,1055 JPY,35.77M,Other IT Services & Consulting,Tokyo Stock Exchange
"ASAHI-SEIKI MANUFACTURING CO.,LTD.",2171 JPY,35.75M,Metallic Rolling & Drawing Products,Tokyo Stock Exchange
"ENBIO HOLDINGS, INC",645 JPY,35.75M,Environmental Consultancy Services,Tokyo Stock Exchange
"WILL,CO.,LTD.",456 JPY,35.72M,Residential Real Estate Development,Tokyo Stock Exchange
"KYOSHA CO., LTD.",355 JPY,35.71M,Other Semiconductors,Tokyo Stock Exchange
"ATOM LIVIN TECH CO., LTD.",1300 JPY,35.68M,Other Construction Supplies & Fixtures,Tokyo Stock Exchange
"SYS HOLDINGS CO., LTD.",502 JPY,35.67M,Other Software,Tokyo Stock Exchange
"NAKAYO, INC.",1147 JPY,35.65M,Other Communications & Networking,Tokyo Stock Exchange
"SHIKIGAKU. CO., LTD.",596 JPY,35.64M,Management Consulting Services,Tokyo Stock Exchange
"GOKENDO CO., LTD.",4000 JPY,35.63M,Other Air Freight & Logistics,Tokyo Stock Exchange
"MIKIKOGYO CO., LTD.",4735 JPY,35.56M,Other Homebuilding,Tokyo Stock Exchange
"TECHNO HORIZON CO.,LTD.",388 JPY,35.5M,Other Office Equipment,Tokyo Stock Exchange
"CERESPO CO., LTD.",947 JPY,35.48M,Exhibition & Conference Services,Tokyo Stock Exchange
"KANEMATSU ENGINEERING CO., LTD.",1070 JPY,35.38M,Heavy Trucks,Tokyo Stock Exchange
TERILOGY HOLDINGS CORPORATION,314 JPY,35.3M,Other Communications & Networking,Tokyo Stock Exchange
REALGATE INC.,1805 JPY,35.3M,Other Real Estate Development & Operations,Tokyo Stock Exchange
SANYODO HOLDINGS INC,697 JPY,35.22M,Book & Magazine Retailers,Tokyo Stock Exchange
"DIAMOND ELECTRIC HOLDINGS CO., LTD.",612 JPY,35.19M,Other Electronic Equipment & Parts,Tokyo Stock Exchange
"IZUTSUYA CO., LTD.",450 JPY,35.01M,Retail - Department Stores,Tokyo Stock Exchange
GMO MEDIA INC.,2872 JPY,35M,Social Media & Networking,Tokyo Stock Exchange
"ISHII FOOD CO., LTD.",305 JPY,34.99M,Other Food Processing,Tokyo Stock Exchange
YASUNAGA CORPORATION,498 JPY,34.94M,Engine & Powertrain Systems,Tokyo Stock Exchange
"DELTA-FLY PHARMA, INC.",611 JPY,34.93M,Other Pharmaceuticals,Tokyo Stock Exchange
"TOKYO COSMOS ELECTRIC CO., LTD.",4010 JPY,34.87M,Electrical Component,Tokyo Stock Exchange
"4CS HD CO., LTD.",501 JPY,34.84M,Other Miscellaneous Specialty Retailers,Tokyo Stock Exchange
"MARKETENTERPRISE CO.,LTD",939 JPY,34.8M,E-commerce & Auction Services,Tokyo Stock Exchange
"COX CO., LTD.",186 JPY,34.77M,Other Apparel & Accessories Retailers,Tokyo Stock Exchange
"JAPAN ANIMAL REFERRAL MEDICAL CENTER CO., LTD.",1960 JPY,34.74M,Veterinary Services,Tokyo Stock Exchange
"ARTIZA NETWORKS, INC.",566 JPY,34.73M,Other Communications & Networking,Tokyo Stock Exchange
"TAKAKITA CO., LTD.",442 JPY,34.72M,Agricultural Machinery,Tokyo Stock Exchange
"KYODO PUBLIC RELATIONS CO., LTD.",597 JPY,34.68M,Public Relations,Tokyo Stock Exchange
O.B.SYSTEM INC.,2133 JPY,34.68M,Other IT Services & Consulting,Tokyo Stock Exchange
"TOYO SHUTTER CO., LTD.",806 JPY,34.63M,Doors & Window Frames,Tokyo Stock Exchange
"WRITEUP CO.,LTD.",968 JPY,34.6M,Management Consulting Services,Tokyo Stock Exchange
LIVESENSE INC.,184 JPY,34.52M,Other IT Services & Consulting,Tokyo Stock Exchange
JAPAN LOGISTIC SYSTEMS CORP.,3700 JPY,34.47M,Freight Trucking,Tokyo Stock Exchange
"TOSE CO., LTD.",660 JPY,34.46M,Application Software,Tokyo Stock Exchange
"HATSUHO SHOUJI CO.,LTD.",1511 JPY,34.42M,Construction Supplies & Fixtures Wholesale,Tokyo Stock Exchange
"VIA HOLDINGS,INC.",113 JPY,34.35M,Other Restaurants & Bars,Tokyo Stock Exchange
"FUSIC CO., LTD.",4005 JPY,34.22M,Other IT Services & Consulting,Tokyo Stock Exchange
ITOKURO INC.,241 JPY,34.19M,Social Media & Networking,Tokyo Stock Exchange
"PLAT'HOME CO., LTD.",3735 JPY,34.11M,Other Computer Hardware,Tokyo Stock Exchange
SHINDEN HIGHTEX CORPORATION,2499 JPY,34.09M,Semiconductor Wholesale,Tokyo Stock Exchange
"INFORMATION STRATEGY AND TECHNOLOGY CO.,LTD.",496 JPY,34.08M,Other IT Services & Consulting,Tokyo Stock Exchange
"KUSHIM, INC.",317 JPY,34.06M,Other IT Services & Consulting,Tokyo Stock Exchange
"BERG EARTH CO.,LTD.",3135 JPY,34.06M,Other Fishing & Farming,Tokyo Stock Exchange
TWINBIRD CORPORATION,470 JPY,34.05M,"Other Appliances, Tools & Housewares",Tokyo Stock Exchange
"TSUCHIYA HOLDINGS CO., LTD.",200 JPY,34.05M,Other Real Estate Development & Operations,Tokyo Stock Exchange
KYOWA CORPORATION,814 JPY,33.99M,Amusement Parks and Zoos,Tokyo Stock Exchange
"IKKA HOLDINGS CO.,LTD.",693 JPY,33.96M,Other Restaurants & Bars,Tokyo Stock Exchange
"TAKA-Q CO., LTD.",121 JPY,33.91M,Men's Apparel Retailers,Tokyo Stock Exchange
FUJI SEIKO LIMITED,1390 JPY,33.9M,Machine Tools,Tokyo Stock Exchange
"TSUKAMOTO CORPORATION CO., LTD.",1218 JPY,33.81M,Other Apparel & Accessories,Tokyo Stock Exchange
"NAKAMURA CHOUKOU CO., LTD.",426 JPY,33.81M,Industrial Parts & Components,Tokyo Stock Exchange
"FUJI HENSOKUKI CO., LTD.",309 JPY,33.8M,Other Industrial Machinery & Equipment,Tokyo Stock Exchange
"ODK SOLUTIONS COMPANY, LTD.",604 JPY,33.75M,Technology Consulting & Outsourcing Services,Tokyo Stock Exchange
"SYSTEM LOCATION CO.,LTD.",1390 JPY,33.73M,Other IT Services & Consulting,Tokyo Stock Exchange
"MEDIA LINKS CO.,LTD.",103 JPY,33.7M,Broadcasting Equipment,Tokyo Stock Exchange
GRAPHITE DESIGN INC.,785 JPY,33.7M,Other Recreational Products,Tokyo Stock Exchange
"REBASE, INC.",1045 JPY,33.7M,Other Internet Services,Tokyo Stock Exchange
