Name,Share Price (CNY),Total Volume,Maeket Capitalization in (CNY),Industry
"HUITONG CONSTRUCTION GROUP CO.,LTD.",3.48,1.582M,1.661B,Industrial services
"ZHEJIANG TUNA ENVIRONMENTAL SCIENCE & TECHNOLOGY CO., LTD",6.62,1.354M,1.403B,Producer manufacturing
"NINGBO SHENGLONG AUTOMOTIVE POWERTRAINSYSTEM CO.,LTD.",18.18,2.752M,4.433B,Producer manufacturing
"JIANGSU XINQUAN AUTOMOTIVE TRIM CO.,LTD",33.97,2.515M,17.046B,Producer manufacturing
GOLDENHOME LIVING,16.58,721.196K,2.488B,Consumer durables
"ZHEJIANG HUANGMA TECHNOLOGY CO.,LTD.",8.69,11.684M,4.869B,Process industries
SHANDONG SINOGLORY HEALTH FOOD,9.99,1.731M,1.118B,Health technology
SUZHOU INSTITUTE OF BUILDING SCIENCE GROUP,3.08,4.251M,1.578B,Industrial services
"HOYUAN GREEN ENERGY CO.,LTD",13.24,4.189M,9.132B,Producer manufacturing
ZHEJIANG WAZAM NEW MATERIAL S,22.86,16.221M,3.38B,Non-energy minerals
"QINGDAO HIRON COMMERCIAL COLD CHAIN CO.,LTD.",9.46,4.979M,3.701B,Consumer durables
"JIANGSU YABANG DYESTUFF CO.,LTD.",2.39,3.894M,1.354B,Process industries
"SHANGHAI WONDERTEK SOFTWARE CO.,LTD",10.84,4.415M,2.981B,Technology services
YANTAI YATONG PRECISION MECHANICAL CORPORATION,18.93,567.63K,2.318B,Producer manufacturing
"CHONGQING WANGBIAN ELECTRIC(GROUP) CORP.,LTD.",10.12,3.756M,3.395B,Producer manufacturing
"SHANGHAI HUIDE SCIENCE & TECHNOLOGY CO.,LTD",13.76,4.827M,1.965B,Process industries
RUNBEN BIOTECHNOLOGY,16.31,1.523M,6.815B,Consumer non-durables
"GONGNIU GROUP CO., LTD",68.1,1.2M,87.806B,Producer manufacturing
RIBO FASHION GROUP,8.02,9.499M,1.702B,Consumer non-durables
SHANGHAI BAOLONG AUTOMOTIVE CORPORATION,26.86,2.133M,5.825B,Producer manufacturing
ANHUI YINGJIA DISTILLERY CO.，LID.,50.3,3.753M,41.032B,Consumer non-durables
ANHUI JIUHUASHAN TOURISM DEVELOPMENT,33.43,1.783M,3.718B,Transportation
SHANGHAI EMPEROR OF CLEANING HI-TECH,18.65,8.676M,3.17B,Process industries
CHANGSHU TONGRUN AUTO ACCESSORY,13.72,655.116K,1.818B,Producer manufacturing
QUICK INTELLIGENT EQUIPMENT,19.3,973.56K,4.876B,Producer manufacturing
"BESTLINK TECHNOLOGIES CO.,LTD.",11.25,2.56M,3.364B,Technology services
"JIANGSHAN OUPAI DOOR INDUSTRY CO., LTD",16.53,707.15K,2.941B,Non-energy minerals
XINGTONG SHIPPING,14.59,1.997M,4.129B,Transportation
"JINTUO TECHNOLOGY CO.,LTD",13.36,5.939M,1.941B,Producer manufacturing
CYBRID TECHNOLOGIES INC,9.33,7.603M,4.248B,Process industries
ZHEJIANG OCEANKING DEVELOPMENT,6.94,739.192K,3.052B,Process industries
"SHANGHAI AIYINGSHI CO.,LTD",9.95,1.572M,1.369B,Distribution services
ZHEJIANG BIYI ELECTRIC APPLIANCE,14.21,3.567M,2.589B,Consumer durables
MENGTIAN HOME GROUP INC.,8.63,434K,1.964B,Non-energy minerals
"YUANLI CHEMICAL GROUP CO.,LTD.",13.18,576.7K,2.773B,Process industries
"RIYUE HEAVY INDUSTRY CO.,LTD",9.28,4.86M,9.716B,Producer manufacturing
"NINGBO FUJIA INDUSTRIAL CO.,LTD",14.18,3.817M,7.955B,Consumer durables
"CHINA BESTER GROUP TELECOM CO.,LTD.",18.2,11.05M,8.054B,Industrial services
ELEGANT HOME-TECH,8.38,2.033M,2.081B,Producer manufacturing
"CHIMINHEALTHMANAGEMENTCO.,LTD.",5.35,4.269M,2.949B,Health technology
"HENGTONG LOGISTICS CO.,LTD.",8.45,4.46M,6.085B,Transportation
"XIN FENGMING GROUP CO., LTD",11.29,5.466M,17.281B,Process industries
VOHRINGER HOME TECHNOLOGY,3.05,2.945M,1.081B,Non-energy minerals
"XINJIANG XUEFENG SCI-TECH(GROUP)CO.,LTD.",7.02,5.521M,7.62B,Process industries
"SHENZHEN KINWONG ELECTRONIC CO.,LTD.",23.51,6.795M,21.829B,Electronic technology
ZHEJIANG AUSUN PHARMACEUTICAL,6.95,3.682M,5.804B,Health technology
"INNER MONGOLIA XINHUA DISTRIBUTION GROUP CO.,LTD.",10.97,2.897M,4.023B,Consumer services
SOLBAR NINGBO PROTEIN TECHNOLOGY,14.81,1.204M,2.924B,Process industries
"KOAL SOFTWARE CO.,LTD.",9.34,3.98M,2.221B,Technology services
DASHENLIN PHARMACEUTICAL GROUP,12.64,7.338M,14.61B,Health technology
JIANGXI TIANXIN PHARMACEUTICAL,25.99,496K,11.597B,Health technology
"QUECTEL WIRELESS SOLUTIONS CO.,LTD.",41.18,3.674M,11.075B,Electronic technology
"ZHEJIANG WUFANGZHAI INDUSTRY CO.,LTD",14.38,509.52K,2.587B,Consumer non-durables
"HANGZHOU？NBOND？NONWOVENS？CO.,？LTD.",9.08,548.335K,1.576B,Process industries
"ZHEJIANG XIANTONG RUBBER & PLASTIC CO.,LTD",12.17,1.157M,3.33B,Producer manufacturing
"LIAONING DINGJIDE PETROCHEMICAL CO., LTD",25.21,647.7K,3.408B,Health technology
"GRACE FABRIC TECHNOLOGY CO.,LTD.",6.13,4.774M,5.542B,Process industries
"HANGZHOU ELECTRONIC SOUL NETWORK TECHNOLOGY CO.,LTD",15.41,6.283M,3.8B,Technology services
WUXI APPTEC,37.5,38.647M,108.99B,Health technology
HOSHINE SILICON INDUSTRY,45.34,847.573K,53.471B,Process industries
"CHENGDU LIHANG TECHNOLOGY CO.,LTD.",30.79,1.833M,2.434B,Electronic technology
NINGBO TIANLONG ELECTRONICS,14.53,2.27M,2.997B,Producer manufacturing
"BEIJING YUANLIU HONGYUAN ELECTRONIC TECHNOLOGY CO.,LTD.",33.87,7.547M,8.332B,Electronic technology
GUANGDONG SONGFA CERAMICS,12.65,1.288M,1.548B,Consumer durables
"JIANGSU SEAGULL COOLING TOWER CO.,LTD.",7.51,2.386M,1.689B,Producer manufacturing
"SHANDONG GOLDEN EMPIRE PRECISION MACHINERY TECHNOLOGY CO.,LTD",16.96,1.552M,3.815B,Producer manufacturing
ZHEJIANG LIANXIANG SMART HOME CO LT,8.39,864.7K,882.902M,Industrial services
JIANGSU TEEYER INTELLIGENT EQUIPMENT,15.21,1.528M,3.363B,Producer manufacturing
"SHANGHAI ZHONGCHEN ELECTRONIC TECHNOLOGY CO.,LTD.",26.52,336.39K,3.972B,Producer manufacturing
"JIANGSU HENGXING NEW MATERIAL TECHNOLOGY CO.,LTD",12.76,664.955K,2.706B,Process industries
"YINDU KITCHEN EQUIPMENT CO., LTD",23.81,1.256M,9.922B,Producer manufacturing
SHANDONG DAYE CO LTD,5.14,10.347M,1.788B,Producer manufacturing
JINGJIN EQUIPMENT INC.,16.74,1.808M,9.505B,Producer manufacturing
FUJIAN SOUTH HIGHWAY MACHINERY,18.44,731.6K,2.047B,Producer manufacturing
HUBEI JIANGHAN NEW MATERIALS,23.45,456.85K,5.071B,Process industries
"ZHEJIANG YAGUANG TECHNOLOGY CO.,LTD.",13.45,1.009M,1.82B,Producer manufacturing
"SUZHOU SECOTE PRECISION ELECTRONIC CO., LTD.",55.99,3.559M,11.139B,Producer manufacturing
SHANDONG JIANBANG NEW MATERIAL,20.37,2.641M,3.355B,Process industries
"JIANGSU RIYING ELECTRONICS CO.,LTD.",14.87,2.701M,1.788B,Producer manufacturing
FOSHAN HAITIAN FLAVOURING AND FOOD COMPANY LTD.,34.37,6.138M,192.397B,Consumer non-durables
"TEDERIC MACHINERY CO.,LTD",7.32,1.369M,2.198B,Producer manufacturing
STARPOWER SEMICONDUCTOR LTD.,75.91,2.699M,18.681B,Electronic technology
"JIANGSU UNITED WATER TECHNOLOGY CO.,LTD.",9.43,1.155M,4.008B,Utilities
HUAQIN TECHNOLOGY,44.12,1.616M,45.158B,Electronic technology
NINGBO YONGXIN OPTICS,53.2,486.3K,5.886B,Electronic technology
"HANGCHA GROUP.,LTD.",15.97,7.353M,21.049B,Producer manufacturing
"JIANG SU SUYAN JINGSHEN CO.,LTD",9.02,3.325M,7.085B,Process industries
"ZHEJIANG HUATIE EMERGENCY EQUIPMENT SCIENCE & TECHNOLOGY CO.,LTD.",4.54,12.096M,8.848B,Finance
"ZHENDE MEDICAL CO.,LTD.",19.56,695.957K,5.263B,Health technology
"HENGDIAN GROUP TOSPO LIGHTING CO.,LTD.",10.72,1.652M,5.223B,Producer manufacturing
NINGBO XUSHENG GROUP,8.7,5.46M,8.296B,Producer manufacturing
"HMT(XIAMEN) NEW TECHNICAL MATERIALS CO.,LTD.",16.23,3.907M,5.498B,Process industries
YANGZHOU JINQUAN TRAVELLING GOODS,29.97,1.917M,2.231B,Consumer durables
"ANHUI YINGLIU ELECTROMECHANICAL CO.,LTD",10.91,4.334M,7.51B,Producer manufacturing
"WELL LEAD MEDICAL CO., LTD.",10.63,1.732M,3.154B,Health technology
ZHEJIANG WEIHUA NEW MATERIAL,16.86,12.959M,6.05B,Process industries
"ZHEJIANG GOLDENSEA HI-TECH CO., LTD",8.13,636.9K,1.944B,Producer manufacturing
SUZHOU WEST DEANE NEW POWER ELECTRIC,25.91,981.851K,4.276B,Industrial services
"HEALTHCARE CO.,LTD",6.02,4.295M,3.41B,Consumer durables
"LIAONING FU-AN HEAVY INDUSTRY CO., LTD",9.12,1.077M,2.954B,Non-energy minerals
CHENGBANG ECO-ENVIRONMENT,3.55,5.895M,935.495M,Commercial services
"SICHUAN TEWAY FOOD GROUP CO., LTD",9.63,4.211M,10.309B,Consumer non-durables
"SHUIFA ENERGAS GAS CO.,LTD.",5.52,2.296M,2.575B,Producer manufacturing
HUNAN MEIHU INTELLIGENT MANUFACTURING,14.16,1.307M,2.996B,Producer manufacturing
"ZHEJIANG DIBAY ELECTRIC CO., LTD",12.53,2.611M,1.707B,Producer manufacturing
ZHE JIANG MEI LUN ELEVATOR,5.93,1.416M,1.845B,Producer manufacturing
"SUPER TELECOM CO.,LTD.",23,4.394M,3.689B,Industrial services
"JIANGSU SUZHOU RURAL COMMERCIAL BANK CO., LTD",4.76,22.55M,8.643B,Finance
SHANGHAI SHENGJIAN TECHNOLOGY,24.22,11.294M,3.708B,Producer manufacturing
SHANGHAI BLOOM TECHNOLOGY INC.,57.25,216.686K,3.796B,Distribution services
NANJING OLO HOME FURNISHING INC.,5.13,1.996M,1.683B,Consumer durables
SICHUAN FURONG TECHNOLOGY,10.96,12.459M,8.633B,Electronic technology
GUANGDONG ELLINGTON ELECTRONICS TECHNOLOGY,6.82,12.044M,6.909B,Electronic technology
SHANGHAI ACE INVESTMENT&DEVELOPMENT,10.21,628.31K,1.653B,Transportation
TIANYANG NEWMATERIALS (SHANGHAI) TECHNOLOGY,4.59,6.34M,2.064B,Process industries
ZHEJIANG BAIDA PRECISION MANUFACTURING,8.1,1.352M,1.686B,Producer manufacturing
SUZHOU LONGJIE SPECIAL FIBER CO LTD,6.96,2.068M,1.523B,Process industries
SUNWAY,3.04,12.468M,1.857B,Producer manufacturing
GUANGDONG DCENTI AUTO-PARTS,3.83,2.776M,1.678B,Consumer durables
"GREAT-SUN FOODS CO.,LTD.",3.18,27.075M,1.916B,Process industries
JACK TECHNOLOGY CO.，LTD,24.97,2.183M,12.004B,Producer manufacturing
"ZHEJIANG DINGLI MACHINERY CO.,LTD",46.77,2.599M,23.95B,Producer manufacturing
SQUARE TECHNOLOGY GROUP,9.19,1.132M,2.875B,Producer manufacturing
"SHANGHAI LONGCHEER TECHNOLOGY CO., LTD",36.15,6.25M,17.106B,Electronic technology
CINDERSON TECH (SUZHOU) CO LTD,19.1,1.357M,3.799B,Producer manufacturing
"ANJOY FOODS GROUP CO.,LTD.",70.47,3.653M,20.869B,Consumer non-durables
"WENCAN GROUP CO.,LTD.",20.82,2.778M,6.428B,Producer manufacturing
"ANANDA DRIVE TECHNIQUES（SHANGHAI）CO., LTD.",27.67,4.115M,3.235B,Distribution services
"NANJING WELL PHARMACEUTICAL GROUP CO.,LTD.",20.15,853.5K,2.76B,Process industries
"HUNAN HESHUN PETROLEUM CO.,LTD",11.12,1.153M,1.97B,Distribution services
"KINGCLEAN ELECTRIC CO.,LTD",21.67,964.032K,12.232B,Consumer durables
XUANCHENG VALIN PRECISION TECHNOLOGY,11.22,1.031M,1.5B,Producer manufacturing
ANHUI TRANSPORT CONSULTING & DESIGN INSTITUTE,7.7,6.268M,4.285B,Industrial services
"HUADA AUTOMOTIVE TECHNOLOGY CORP.,LTD",28.39,4.025M,12.03B,Producer manufacturing
DONGZHU ECOLOGICAL ENVIRONMENT PROT,3.37,4.334M,1.525B,Industrial services
"DALIANBIO-CHEMCO.,LTD.",12.39,7.646M,6.234B,Process industries
FUJIAN AONONG BIOLOGICAL TECHNOLOGY GROUP,3.35,11.565M,2.911B,Process industries
SHANGHAI SHUIXING HOME TEXTILE,12.79,1.486M,3.318B,Consumer durables
"SOLAREAST  HOLDINGS CO.,LTD.",3.64,6.928M,2.911B,Producer manufacturing
CISEN PHARMACEUTICAL,13.14,1.446M,5.912B,Health technology
"GUANGXI LIUYAO GROUP CO., LTD",16.04,3.968M,6.409B,Distribution services
"JIANGSU KING’S LUCK BREWERY JOINT ? STOCK CO., LTD",39.39,10.492M,51.196B,Consumer non-durables
"ANBANG SAVE-GUARD GROUP CO., LTD",25.72,1.431M,2.832B,Commercial services
WUXI HOLYVIEW MICROELECTRONICS,33.47,2.745M,3.575B,Process industries
EASTERN PIONEER DRIVING SCHOOL,1.52,14.522M,1.021B,Commercial services
ASIA CUANON TECHNOLOGY,6.55,11.491M,2.536B,Process industries
ZHEJIANG SANMEI CHEMICAL INDUSTRY,29.3,2.043M,18.009B,Process industries
SUZHOU ETRON TECHNOLOGIES,17.86,689.8K,2.893B,Electronic technology
YONZ TECHNOLOGY,20.9,3.386M,4.985B,Electronic technology
"FUJIAN APEX SOFTWARE CO.,LTD",26.35,4.017M,5.647B,Technology services
"HUIDA SANITARY WARE CO.,LTD.",5.27,1.626M,2.027B,Consumer durables
"GUANGDONG CHAMPION ASIA ELECTRONICS CO.,LTD.",10.23,3.714M,3.38B,Electronic technology
"GETEIN BIOTECH, INC.",7.51,3.149M,3.803B,Health technology
YUANCHENG ENVIRONMENT,1.88,16.114M,592.835M,Commercial services
A-ZENITH HOME FURNISHINGS CO.， LTD.,5.67,33.492M,1.513B,Consumer durables
"GUANGZHOU TONGDA AUTO ELECTRIC CO.,LTD.",8.74,34.485M,2.92B,Producer manufacturing
"ZHEJIANG LIJU THERMAL EQUIPMENT CO., LTD.",38.96,2.673M,3.555B,Producer manufacturing
BEIJING WANTAI BIOLOGICAL PHARMACY ENTERPRISE CO.，LTD.,68.84,2.268M,87.747B,Health technology
XINJIANG XINTAI NATURAL GAS CO LTD,34.96,1.492M,14.767B,Utilities
"YINGKOU JINCHEN MACHINERY CO., LTD.",24.04,2.257M,3.412B,Electronic technology
MUBANG HIGH-TECH,11.88,7.937M,5.408B,Consumer durables
"JINZHOU YONGSHAN LITHIUM CO., LTD",6.02,12.493M,3.257B,Non-energy minerals
RUNNER（XIAMEN）CORP.,10.84,1.425M,4.887B,Producer manufacturing
"WUXI XINJE ELECTRIC CO.,LTD.",28.9,1.1M,4.165B,Electronic technology
QINGDAO TOPSCOMM COMMUNICATION INC.,3.98,8.625M,2.611B,Producer manufacturing
"ANHUI GENUINE NEW MATERIALS CO.,LTD.",3.58,4.114M,1.876B,Process industries
"GUIZHOU SANLI PHARMACEUTICAL CO.,LTD.",11.26,3.199M,4.618B,Health technology
"G-BITS NETWORK TECHNOLOGY(XIAMEN)CO., LTD.",175.96,1.27M,12.956B,Technology services
"ZHEJIANG JIUZHOU  PHARMACEUTICAL CO.,LTD",12,10.639M,11.147B,Health technology
"GUIZHOU TRANSPORTATION PLANNING SURVEY&DESIGN ACADEME CO.,LTD.",5.41,21.693M,1.673B,Industrial services
"SHANGHAI？FENGYUZHU？CULTURE？TECHNOLOGY？CO.,？LTD.",6.79,8.663M,4.183B,Technology services
LESHAN GIANTSTAR FARMING&HUSBANDRY CORPORATION LIMITED,16.85,10.371M,8.702B,Process industries
ECOVACS ROBOTICS,36.59,2.611M,20.64B,Consumer durables
"FLYING TECHNOLOGY CO.,LTD",8.35,3.908M,2.473B,Producer manufacturing
"BAFANG ELECTRIC（SUZHOU）CO.,LTD.",17.67,2.193M,4.268B,Electronic technology
EMBEDWAY TECHNOLOGIES (SHANGHAI) CORPORATION,20.46,4.962M,6.571B,Commercial services
"SHANGHAI SUNGLOW PACKAGING TECHNOLOGY CO., LTD",13.95,1.656M,3.052B,Process industries
ZHEJIANG TIANTAI XIANGHE INDUSTRIAL,6.14,1.776M,2.065B,Non-energy minerals
"WILL SEMICONDUCTOR CO., LTD. SHANGHAI",91.15,10.588M,112.68B,Electronic technology
CHINA KINGS RESOURCES GROUP,23.58,1.689M,14.363B,Non-energy minerals
NACITY PROPERTY SERVICE GROUP,7.05,1.984M,1.352B,Finance
JIANGSU ZHENJIANG NEW ENERGY EQUIPM,19.73,1.838M,3.592B,Producer manufacturing
"HENAN THINKER AUTOMATIC EQUIPMENT CO.,LTD",18.85,7.982M,7.084B,Electronic technology
AIMER,10.42,1.903M,4.179B,Consumer non-durables
"OPPLE LIGHTING CO.,LTD.",14.62,1.698M,10.922B,Producer manufacturing
BEIJING TRICOLOR TECHNOLOGY,28.94,13.464M,5.498B,Electronic technology
JUEWEI FOOD,12.14,19.014M,7.765B,Process industries
"JING HONG FASHION GROUP CO.,LTD.",6.44,6.103M,2.227B,Consumer non-durables
"JIANGSU LIBA ENTERPRISE JOINT-STOCK CO., LTD",8.85,1.317M,2.437B,Producer manufacturing
"ZHEJIANG STARRY PHARMACEUTICAL CO.,LTD",8.38,3.892M,3.782B,Health technology
ANHUI ZHONGYUAN NEW MATERIALS,6.52,3.368M,2.108B,Non-energy minerals
DUOLUN TECHNOLOGY,5.71,8.939M,4.123B,Commercial services
"AIMA TECHNOLOGY GROUP CO., LTD",26.32,3.822M,21.976B,Consumer durables
"JIANGSU SHEMAR ELECTRIC CO.,LTD.",20.46,2.423M,8.866B,Process industries
IREADER TECHNOLOGY CO LTD,15.42,8.043M,7.014B,Technology services
"GUANGZHOU JIACHENG INTERNATIONAL LOGISTICS CO.,LTD",14.4,1.351M,3.345B,Transportation
"SHANDONG HUIFA FOODSTUFF CO.,LTD.",6.86,3.119M,1.69B,Consumer non-durables
NINGBO MENOVO PHARMACEUTICAL,11.14,1.46M,2.471B,Health technology
AUPU INTELLIGENT TECHNOLOGY CORPORATION LIMITED,9.36,2.078M,3.879B,Consumer durables
"HEXING ELECTRICAL CO.,LTD",43.57,2.622M,20.676B,Electronic technology
QIBU CORPORATION LIMITED,1.88,833.5K,1.011B,Consumer non-durables
"ZHEJIANG JASAN HOLDING GROUP CO.,LTD",8.91,6.75M,3.234B,Consumer non-durables
ZHONGTONGGUOMAI COMMUNICATION CO LT,5.93,2.55M,809.72M,Industrial services
SHANGHAI ZHONGGU LOGISTICS,8.29,2.97M,17.368B,Transportation
PULIKE BIOLOGICAL ENGINEERING，INC.,11.47,1.911M,3.959B,Health technology
HEILONGJIANG ZBD PHARMACEUTICAL,10.78,1.532M,10.174B,Health technology
"ZHEJIANG WEIMING ENVIRONMENT PROTECTION CO.,LTD.",18.19,3.186M,31.241B,Industrial services
BEIJING CHANGJIU LOGISTICS CORP.,6.16,6.246M,3.838B,Transportation
QINGDAO HUIJINTONG POWER EQUIPMENT,6.52,2.23M,2.221B,Producer manufacturing
"ZHEJIANG THREE STARS NEW MATERIALS CO.,LTD.",10.74,366.708K,1.938B,Producer manufacturing
SHANGHAI RONGTAI HEALTH TECHNOLOGY,12.74,1.274M,2.221B,Consumer durables
"AA INDUSTRIAL BELTING (SHANGHAI) CO., LTD",18.22,5.858M,2.476B,Producer manufacturing
ZHEJIANG JIECANG LINEAR MOTION TECHNOLOGY,15.85,3.21M,6.122B,Producer manufacturing
"SULI CO.,LTD.",10.24,676.85K,1.849B,Process industries
"SHANDONG GOLD PHOENIX CO.,LTD.",12.27,13.151M,2.497B,Producer manufacturing
DAZZLE FASHION,10.57,753.5K,5.045B,Consumer non-durables
"BEIJING GEOENVIRON ENGINEERING & TECHNOLOGY, INC.",4.51,19.113M,7.131B,Industrial services
ANHUI KOUZI DISTILLERY,35.95,2.371M,21.965B,Consumer non-durables
"BEIJING KONRUNS PHARMACEUTICAL CO.,LTD.",23.06,990.6K,3.67B,Retail trade
"ZHEJIANG TONY ELECTRONIC CO., LTD",15.42,1.903M,3.654B,Non-energy minerals
BETHEL AUTO SAFETY SYSTEMS,32.62,4.781M,20.334B,Producer manufacturing
INLY MEDIA,11.44,8.237M,3.088B,Commercial services
"ANHUI GUANGXIN AGROCHEMICAL CO., LTD.",10.14,2.433M,9.186B,Process industries
UE FURNITURE,8.76,1.544M,2.903B,Producer manufacturing
CHONGQING ZAISHENG TECHNOLOGY CORP. LTD,2.57,7.473M,2.674B,Producer manufacturing
HANGZHOU FREELY COMMUNICATION,12.58,2.969M,2.64B,Industrial services
"PROYA COSMETICS CO.,LTD",83.8,2.004M,33.717B,Consumer non-durables
NINGBO ORIENT WIRES & CABLES,45.68,3.955M,31.944B,Producer manufacturing
ZHEJIANG JINGHUALASER TECHNOLOGY,12,1.868M,2.169B,Producer manufacturing
TOPSCORE FASHION,2.81,10.393M,1.195B,Consumer non-durables
WELLHOPE FOODS,6.56,2.452M,6.067B,Consumer non-durables
KEESON TECHNOLOGY CORPORATION LIMITED,8.78,1.804M,3.216B,Consumer durables
NOBLELIFT INTELLIGENT EQUIPMENT,14.91,4.353M,3.713B,Producer manufacturing
"SUNSTONE DEVELOPMENT CO.,LTD",10.25,7.978M,5.553B,Producer manufacturing
"BEIJING UNITED INFORMATION TECHNOLOGY CO.,LTD.",19,15.879M,13.035B,Retail trade
"CHAHUA MODERN HOUSEWARES CO.,LTD.",12.12,3.368M,3B,Producer manufacturing
BEIJING HANJIAN HESHAN PIPELINE CO.LTD,2.75,4.769M,1.088B,Non-energy minerals
"JUNHE PUMPS HOLDING CO.,LTD",5,5.614M,1.991B,Producer manufacturing
HANGZHOU CABLE,4.3,5.202M,3.001B,Producer manufacturing
ZHONGMAN PETROLEUM AND NATURAL GAS GROUP CORP.，LTD,19.61,2.523M,8.825B,Energy minerals
KUNSHANKERSEN SCIENCE & TECHNOLOGY,5.01,24.611M,2.818B,Producer manufacturing
"CLENERGY TECHNOLOGY PTY., LTD",12.01,9.995M,3.409B,Electronic technology
"JIANGSU LETTALL ELECTRONIC CO.,LTD.",15.39,3.677M,4.074B,Producer manufacturing
"LAFANG CHINA CO.,LTD",9.63,1.416M,2.179B,Consumer non-durables
"SHANGHAI LAIMU ELECTRONICS CO.,LTD",6.05,25.671M,2.561B,Electronic technology
"LINEWELL SOFTWARE CO.,LTD.",7.64,11.384M,4.286B,Technology services
ZHENHAI PETROCHEMICAL ENGINEERING,5.72,1.808M,1.352B,Industrial services
"YANTAI EDDIE PRECISION MACHINERY CO.,LTD",14,1.691M,11.683B,Producer manufacturing
"HAILIR PESTICIDES AND CHEMICALS GROUP CO.,LTD.",11.55,2.213M,3.954B,Process industries
SHANGHAI SHINE-LINK INTERNATIONAL LOGISTICS,7.41,2.786M,2.74B,Transportation
RED AVENUE NEW MATERIALS GROUP,26.06,6.469M,15.408B,Process industries
"CHANGZHOU LANGBO SEALING TECHNOLOGY CO.,LTD.",13.55,1.011M,1.434B,Producer manufacturing
HEFEI TAIHE OPTOELECTRONIC TECHNOLOGY,9.62,1.68M,1.758B,Producer manufacturing
JINHUA CHUNGUANG TECHNOLOGY CO LTD,9.95,1.544M,1.391B,Producer manufacturing
"AUTOBIO DIAGNOSTICS CO., LTD",39.78,4.494M,22.712B,Health technology
SHANGHAI PUTAILAI NEW ENERGY TECHNOLOGY,11,17.954M,24.093B,Producer manufacturing
"SUZHOU KEDA TECHNOLOGY CO.,LTD",4.72,9.746M,2.409B,Electronic technology
ZHEJIANG HENGLIN CHAIR INDUSTRY,32.01,616.24K,4.395B,Producer manufacturing
"KELI SENSING TECHNOLOGY (NINGBO) CO.,LTD.",22.82,16.009M,6.842B,Electronic technology
"SANXIANG ADVANCED MATERIALS CO.,LTD.",14.45,44.671M,5.822B,Non-energy minerals
ZHEJIANG KANGLONGDA SPECIAL PROTECTIVE TECHNOLOGY CO.，LTD.,13.47,5.929M,2.065B,Consumer non-durables
YIJIAHE TECHNOLOGY,14.81,24.653M,3.374B,Producer manufacturing
"ZHEJIANG XCC GROUP CO.,LTD;",13.15,11.33M,5.066B,Producer manufacturing
"FUJIAN TIANMA SCIENCE AND TECHNOLOGY GROUP CO., LTD",10.84,5.234M,5.589B,Process industries
"LIONCO PHARMACEUTICAL GROUP CO.,LTD.",4.17,1.596M,3.065B,Health technology
"TIBET WEIXINKANG MEDICINE CO., LTD",7.84,3.618M,3.512B,Health technology
QIJING MACHINERY,9.85,1.714M,1.889B,Producer manufacturing
FUJIAN TORCH ELECTRON TECHNOLOGY,21.97,2.735M,10.24B,Electronic technology
SICHUAN HUATI LIGHTING TECHNOLOGY,10.48,8.462M,1.784B,Producer manufacturing
"KTK GROUP CO., LTD.",6.71,2.553M,5.139B,Producer manufacturing
"SHANGHAI YONGGUAN ADHESIVE PRODUCTS CORP.,LTD",10.38,1.731M,1.99B,Process industries
"SHANGHAI GOLDEN UNION COMMERCIAL MANAGEMENT CO.,LTD.",3.53,3.013M,1.692B,Finance
SHANGHAI SMITH ADHESIVE NEW MATERIAL,7.05,2.487M,1.812B,Process industries
ZHEJIANG CHENFENG SCIENCE & TECHNOL,10.76,717.7K,1.827B,Electronic technology
"FULONGMA GROUP CO.,LTD.",8.18,7.392M,3.449B,Transportation
"ZHEJIANG GREAT SHENGDA PACKAGING CO.,LTD.",5.78,5.858M,3.234B,Process industries
"JIANGSU PACIFIC QUARTZ CO.,LTD.",23.46,5.407M,13.027B,Process industries
"ANHUI PROVINCE NATURAL GAS DEVELOPMENT CO.,LTD.",8.78,2.158M,4.149B,Utilities
"PNC PROCESS SYSTEMS CO.,LTD",18.76,3.047M,7.411B,Producer manufacturing
JIANGSU NEW ENERGY DEVELOPMENT,10.3,3.45M,9.164B,Utilities
"ANJI FOODSTUFF CO., LTD",6.41,1.292M,1.526B,Consumer non-durables
YOUYOU FOODS,5.45,2.137M,2.375B,Consumer non-durables
"CHANGZHENG ENGINEERING CO.,LTD",12.1,2.365M,6.48B,Producer manufacturing
NEWAY VALVE (SUZHOU),18.34,3.101M,13.814B,Producer manufacturing
NINGBO WATER METER (GROUP),9.18,3.72M,1.938B,Producer manufacturing
ZHEJIANG DEHONG AUTOMOTIVE ELECTRONIC & ELECTRICAL,10.76,1.948M,2.878B,Producer manufacturing
"ZHEJIANG SHENGYANG SCIENCE AND TECHNOLOGY CO.,LTD.",9.39,4.888M,3.931B,Electronic technology
"XINJIANG EAST UNIVERSE (GROUP) GAS CO., LTD",14.46,569.4K,2.78B,Utilities
NANJING KING-FRIEND BIOCHEMICAL PHARMACEUTICAL,10.96,2.309M,17.932B,Health technology
JIAJIAYUE GROUP,7.73,2.644M,5.016B,Retail trade
ZOY HOME FURNISHING,8.56,785.29K,1.078B,Consumer durables
XIANGPIAOPIAO FOOD CO LTD,11.04,921.4K,4.509B,Consumer non-durables
TIANJIN 712 COMMUNICATION & BROADCASTING,16.24,3.575M,12.669B,Electronic technology
"MILKYWAY INTELLIGENT SUPPLY CHAIN SERVICE GROUP CO.,LTD.",42.79,658.2K,7.025B,Transportation
