Name,Share Price (CNY),Total Volume,Maeket Capitalization in (CNY),Industry
CHINA TUNGSTEN & H,8,9.497M,11.305B,Non-energy minerals
ZHUHAI ZHONGFU ENT,1.88,10.007M,2.391B,Process industries
CHANGCHUN HIGH-TEC,79.64,5.723M,33.342B,Health technology
FUJIAN YONGAN FRST,4.03,2.453M,1.377B,Non-energy minerals
HUBEI BROADCASTING,3.33,10.035M,3.9B,Consumer services
RONGFENG HOLDING G,6.19,1.158M,919.23M,Distribution services
JINHONG HOLDINGS G,1.3,3.322M,884.531M,Industrial services
INFOTMIC CO LTD,4.34,14.156M,3.754B,Electronic technology
GANSU SHANGFENG CE,6.27,4.5M,6.054B,Non-energy minerals
GENIMOUS TECHNOLOG,5.32,28.539M,6.913B,Technology services
CHTC HELON CO LTD,2.47,6.16M,2.177B,Process industries
XIANGYANG AUTO BGS,4.36,73.707M,2.091B,Producer manufacturing
DALIAN FRIENDSHIP,2.83,12.419M,1.048B,Finance
SHANTUI CONSTRUCTI,6.47,8.533M,9.609B,Producer manufacturing
VISUAL CHINA GROUP,10.7,8.066M,7.688B,Commercial services
D/F ELECTRONICS CO,10.33,17.162M,13.729B,Electronic technology
IM/YUANXING ENERGY,5.88,17.239M,22.038B,Process industries
ZHONGSHAN PUBLIC,7.22,4.144M,10.636B,Utilities
NORTHEAST SECURITI,5.71,15.801M,13.481B,Finance
GUOCHENG MINING CO,9.36,2.83M,10.318B,Non-energy minerals
GUANGDONG BAOLIHUA,4.37,13.079M,9.509B,Utilities
GANSU YATAI INDUST,3.59,2.877M,1.177B,Process industries
S/HT THERMAL POWER,2.91,2.818M,1.572B,Utilities
TIANJIN BINHAI E&D,10.38,2.871M,2.31B,Commercial services
LIGEANCE AEROSPACE,5.42,4.989M,4.802B,Electronic technology
SHENYANG CHEMICAL,2.62,4.099M,2.18B,Process industries
JIANGNAN MOULD AND,5.31,8.593M,5.003B,Producer manufacturing
XIAMEN XINDE CO,3.47,8.129M,2.369B,Transportation
HUNAN ZHENGHONG SC,4.32,17.586M,1.536B,Process industries
HENGYI PETROCHEMIC,6.16,13.787M,21.118B,Process industries
