Name,Stock Price,Market cap,Percentage change,Industry
KPT INDUSTRIES LIMITED         ,"1,223.00",50.38M,116.06%,Machine Tools
MEGASOFT LIMITED        ,56.23,50.29M,-16.47%,Other IT Services & Consulting
REFRACTORY SHAPES LIMITED          ,192.95,50.19M,0.00%,Other Construction Materials
CHAVDA INFRA LIMITED          ,170.4,50.13M,90.60%,Other Real Estate Development & Operations
CINELINE INDIA LIMITED         ,121.98,50.06M,-9.71%,Movie Theaters & Movie Products
KAPSTON SERVICES LIMITED          ,206.65,50.02M,65.19%,Other Business Support Services
ESCONET TECHNOLOGIES LIMI          ,322.05,49.99M,0.00%,Other IT Services & Consulting
AMAL LTD         ,336.25,49.91M,-2.47%,Other Commodity Chemicals
BAHETI RECYCLING INDUSTRI          ,380.2,49.51M,113.36%,Secondary Smelting & Alloying of Aluminum
KELTECH ENERGIES LIMITED         ,"4,017.10",49.51M,29.16%,Explosives
GENNEX LABORATORIES LIMIT         ,19.8,49.5M,17.79%,Other Pharmaceuticals
UTSSAV CZ GOLD JEWELS LIM          ,208.55,49.49M,0.00%,Jewelry
MAJESTIC AUTO LIMITED         ,451.75,49.46M,75.68%,Other Business Support Services
MILKFOOD LIMITED         ,161.2,49.35M,7.62%,Dairy Products
ZENOTECH LABORATORIES LIM         ,70.34,49.23M,5.65%,Other Pharmaceuticals
INNOVATORS FACADE SYSTEMS          ,220.55,49.04M,-0.52%,Building Contractors
RNFI SERVICES LIMITED          ,153.75,48.93M,0.00%,Financial Technology (Fintech) (NEC)
HPC BIOSCIENCES LIMITED         ,25.68,4.89Cr,-1.98%,Other Food Processing
POCL ENTERPRISES LIMITED         ,748.75,4.88Cr,232.26%,Other Commodity Chemicals
KATARIA INDUSTRIES LIMITE          ,186.85,4.87Cr,0.00%,Other Construction & Engineering
