Name,Stock Price,Market cap,Percentage change,Industry
VIKAS WSP LIMITED        ,1.77,4.2M,3.51%,Other Specialty Chemicals
SHAHI SHIPPING LIMITED         ,23.04,4.19M,225.88%,Other Marine Freight & Logistics
GREENCREST FINANCIAL SERV          ,0.97,4.19M,-1.02%,Other Corporate Financial Services
CARGOTRANS MARITIME LIMIT          ,85,4.19M,19.72%,Freight Logistics
SHANTI GURU INDUSTRIES LI         ,29.91,4.18M,237.97%,Other Food Retail & Distribution
SABAR FLEX INDIA LIMITED          ,23.4,4.18M,9.86%,Plastic Containers & Packaging
ADVANCE LIFESTYLES LIMITE         ,57.23,4.18M,30.96%,Other Textiles & Leather Goods
CONSECUTIVE INVESTMENTS T         ,43.68,4.17M,10.25%,Other Investment Management & Fund Operators
TTI ENTERPRISE LIMITED         ,13.4,4.17M,-33.00%,Other Corporate Financial Services
SAWACA BUSINESS MACHINES          ,0.63,4.16M,-47.50%,Specialty Chemicals Wholesale
USHDEV INTERNATIONAL LIMI         ,1.03,4.16M,-22.56%,Wind Electric Utilities
INFOMEDIA PRESS LIMITED        ,6.59,4.15M,9.83%,Book Publishing
VARYAA CREATIONS LIMITED          ,79.64,4.14M,0.00%,Jewelry
VSF PROJECTS LIMITED         ,57.75,4.12M,1.33%,Other Construction & Engineering
IMPEX FERRO TECH LIMITED        ,4.1,4.11M,20.59%,Other Steel
CHORDIA FOOD PRODUCTS LIM         ,89,4.1M,-12.44%,Industrial Real Estate Development
KISAAN PARIVAR INDUSTRIES         ,39.74,4.09M,383.45%,
PS IT INFRASTRUCTURE SERV         ,6.25,4.09M,-65.66%,Other Investment Banking & Brokerage Services
KK SHAH HOSPITALS LIMITED          ,50.23,4.08M,-31.19%,"Hospitals, Clinics & Primary Care Services"
SHASHIJIT INFRAPROJECTS L         ,6.68,4.08M,12.27%,Other Real Estate Development & Operations
QUADPRO ITES LIMITED          ,6.75,4.07M,9.76%,Other IT Services & Consulting
ADESHWAR MEDITEX LIMITED          ,21.6,4.07M,-32.50%,"Other Medical Equipment, Supplies & Distribution"
DEEP DIAMOND INDIA LIMITE          ,6.92,4.06M,2.67%,Jewelry
A G UNIVERSAL LIMITED          ,60,4.06M,-18.92%,Metal Merchant Wholesale
ALAN SCOTT ENTERPRISES LI         ,88.72,38.38L,4.93%,"Other Medical Equipment, Supplies & Distribution"
MPDL LIMITED         ,44.21,38.34L,-5.72%,Other Real Estate Development & Operations
SPENTA INTERNATIONAL LIMI         ,112.5,38.33L,-36.35%,Other Apparel & Accessories
NARMADA AGROBASE LIMITED         ,23.72,38.26L,6.61%,Animal Feed
TCM LIMITED         ,43.25,38.19L,-8.12%,Other Commodity Chemicals
COSYN LIMITED         ,43.68,38.18L,20.96%,Other IT Services & Consulting
N K INDUSTRIES LIMITED         ,53.1,38.16L,-12.79%,"Starch, Vegetable Fat & Oil Manufacturing"
PHAARMASIA LIMITED         ,47.04,38.12L,19.48%,Other Pharmaceuticals
EP BIOCOMPOSITES LIMITED          ,190,38.12L,0.82%,Other Construction Supplies & Fixtures
CHOKSI IMAGING LIMITED         ,80.94,38.11L,35.81%,Medical Supplies
VISAGAR POLYTEX LIMITED         ,1.09,38.07L,0.00%,Women's Clothing
TARAPUR TRANSFORMERS LIMI         ,16.66,38.02L,229.90%,Other Heavy Electrical Equipment
SUUMAYA INDUSTRIES LIMITE         ,5.14,37.71L,-35.35%,Other Apparel & Accessories
MIVEN MACHINE TOOLS LIMIT         ,102.9,37.63L,30.67%,Other Industrial Machinery & Equipment
OLYMPIA INDUSTRIES LIMITE         ,54.69,37.6L,-22.83%,Other Apparel & Accessories
CHOTHANI FOODS LIMITED          ,28.88,37.58L,-22.78%,Food Ingredients
SPARC ELECTREX LIMITED         ,15.95,37.57L,-42.29%,Other Industrial Machinery & Equipment
SAGAR DIAMONDS LIMITED         ,24.19,37.53L,-51.78%,Jewelry
KSHITIJ POLYLINE LIMITED         ,6.2,37.53L,-8.15%,Plastics
SAHARA HOUSINGFINA CORPOR         ,43.31,37.48L,-24.49%,Other Consumer Lending
RODIUM REALTY LIMITED         ,99.98,37.48L,64.44%,Other Real Estate Development & Operations
KJMC CORPORATE ADVISORS I         ,75.72,37.48L,42.84%,Other Investment Banking & Brokerage Services
BLUE CHIP TEX INDUSTRIES          ,160,37.45L,5.16%,Yarn Goods
ONESOURCE IDEAS VENTURE L          ,74.38,37.41L,12.70%,Diversified Investment Services
ABIRAMI FINANCIAL SERVICE         ,58.53,37.31L,60.31%,
JAY KAILASH NAMKEEN LIMIT          ,62.51,37.27L,0.00%,Other Food Processing
NATURAL BIOCON INDIA LIMI          ,12.17,37.19L,-9.99%,Other Agricultural Chemicals
EDUCOMP SOLUTIONS LIMITED        ,2.41,37.12L,-34.86%,Miscellaneous Educational Service Providers
FALCON TECHNOPROJECTS IND          ,57.4,37.07L,0.00%,Other Construction & Engineering
INTEC CAPITAL LIMITED         ,16.9,37.03L,-8.00%,Commercial Loans
GLOBAL LONGLIFE HOSPITAL           ,30.78,37.02L,-28.00%,"Hospitals, Clinics & Primary Care Services"
VEER ENERGY INFRASTRUCTUR         ,20.7,37.01L,22.85%,Renewable Energy Services
SANGAL PAPERS LIMITED         ,237.2,36.98L,33.26%,Other Paper Products
CITYMAN LIMITED         ,26.46,36.94L,43.03%,Other Apparel & Accessories
PERFECT INFRAENGINEERS LI         ,27.45,36.9L,71.56%,"Heating, Ventilation & Air Conditioning Systems"
COX KINGS LIMITED        ,1.75,36.87L,-.--%,Travel Agents
NARENDRA PROPERTIES LIMIT         ,42.59,36.62L,-7.71%,Other Real Estate Development & Operations
PARAGON FINANCE LIMITED         ,72.66,36.55L,50.40%,Personal & Car Loans
WINRO COMMERCIAL INDIA LI         ,244.45,36.53L,-.--%,Other Investment Banking & Brokerage Services
BAMPSL SECURITIES LIMITED         ,8.96,36.47L,-8.85%,Other Investment Banking & Brokerage Services
ANUPAM FINSERV LIMITED         ,2.06,28.42L,-10.43%,Other Consumer Lending
NOVATEOR RESEARCH LABORAT          ,48.43,28.41L,38.37%,Other Personal Products
DYNAMIC ARCHISTRUCTURES L          ,47.51,28.4L,-.--%,Other Corporate Financial Services
GUJARAT LEASE FINANCING L        ,8.35,28.13L,73.96%,Shell Companies
RITESH INTERNATIONAL LIMI         ,27.39,28.12L,-3.89%,Other Commodity Chemicals
EASTERN TREADS LIMITED         ,44.69,28.11L,1.73%,Other Tires & Rubber Products
ASHISH POLYPLAST LIMITED         ,72.8,28.11L,264.00%,Plumbing Fixtures & Fittings
MRC AGROTECH LIMITED         ,11.88,28.09L,-2.62%,Grain (Crop) Production
EPIC ENERGY LIMITED         ,33.16,27.97L,276.82%,Other Renewable Energy Equipment & Services
SECUR CREDENTIALS LIMITED         ,5.83,27.93L,-70.41%,Other Business Support Services
PARAMOUNT COSMETICS INDIA         ,49.75,27.89L,20.75%,Cosmetics & Perfumes
HOWARD HOTELS LIMITED         ,24.65,27.87L,31.96%,Hotels & Motels
INNOVATIVE IDEALS AND SER          ,21,27.84L,-21.47%,Electric Equipment Wholesale
PALM JEWELS LIMITED          ,22.51,27.83L,28.63%,Jewelry
TAI INDUSTRIES LIMITED         ,40.53,27.73L,-15.19%,Commodity Chemicals Wholesale
MAGENTA LIFECARE LIMITED          ,33.12,27.66L,0.00%,Other Home Furnishings
APT PACKAGING LIMITED          ,46.21,27.64L,28.72%,Plastics
TGIF AGRIBUSINESS LIMITED          ,87.6,27.64L,0.00%,"Vegetable, Fruit & Nut Farming"
AJEL LIMITED         ,19.1,27.63L,16.25%,
MUKAT PIPES LIMITED         ,19.14,27.57L,50.35%,"Iron, Steel Mills & Foundries"
KUNSTSTOFFE INDUSTRIES LI         ,33.31,27.54L,35.74%,Plastics
CELLA SPACE LIMITED         ,11.64,27.53L,22.53%,Other Air Freight & Logistics
KARNAVATI FINANCE LIMITED         ,2.28,27.46L,4.59%,Other Consumer Lending
HINDUSTAN AGRIGENETICS LI          ,62.64,27.41L,60.33%,Commercial Nurseries
EVOQ REMEDIES LIMITED          ,9.11,27.36L,-38.24%,Other Pharmaceuticals
JAGJANANI TEXTILES LIMITE         ,15.42,27.36L,11.98%,Other Textiles & Leather Goods
SARTHAK INDUSTRIES LIMITE         ,24,27.34L,-10.38%,Other Industrial Machinery & Equipment
PRIMA INDUSTRIES LIMITED         ,21.5,27.32L,1.32%,Animal Feed
HARISH TEXTILE ENGINEERS           ,66.36,27.3L,28.13%,Industrial Machinery
PARLE INDUSTRIES LIMITED         ,17.1,27.21L,98.15%,Other Paper Products
JAIPAN INDUSTRIES LIMITED         ,37.78,27.21L,7.70%,"Other Appliances, Tools & Housewares"
DIPNA PHARMACHEM LIMITED          ,8.89,27.14L,-16.53%,Specialty Chemicals Wholesale
SIBAR AUTO PARTS LIMITED         ,14.3,27.09L,36.06%,"Other Auto, Truck & Motorcycle Parts"
LWS KNITWEAR LIMITED         ,45.98,27.02L,40.78%,Other Textiles & Leather Goods
PBA INFRASTRUCTURE LIMITE         ,16.79,27L,33.25%,Other Construction & Engineering
GIAN LIFE CARE LIMITED          ,21.35,26.92L,7.56%,Medical & Diagnostic Laboratories
EASUN CAPITAL MARKETS LIM          ,43.15,26.92L,-6.20%,Other Financial & Commodity Market Operators
STERLING GUARANTY FINANCE         ,36.17,26.91L,114.40%,Other Investment Banking & Brokerage Services
NEERAJ PAPER MARKETING LI          ,20,26.91L,-2.20%,Paper Product Wholesale
TRADEWELL HOLDINGS LIMITE         ,74.83,26.82L,84.22%,
G K P PRINTING PACKAGING           ,8.9,23.41L,-37.59%,Other Paper Packaging
HIRA AUTOMOBILES LIMITED          ,71.22,23.4L,186.48%,New Car Dealers
CLASSIC FILAMENTS LIMITED          ,31,23.39L,-14.10%,Other Textiles & Leather Goods
MARKET CREATORS LIMITED         ,12.99,23.39L,48.29%,
 NR RETAIL LIMITED         ,6.98,23.32L,10.79%,Children & Infants Clothing Retailers
ECONO TRADE INDIA LIMITED         ,10.52,23.32L,75.33%,Other Corporate Financial Services
KOTIA ENTERPRISES LIMITED          ,27.83,23.31L,113.09%,
MEWAR HI TECH ENGINEERING         ,50,23.29L,-.--%,Industrial Machinery
SOLID STONE COMPANY LIMIT         ,35.63,23.28L,17.67%,Other Construction Materials
YUNIK MANAGING ADVISORS L         ,13.4,23.22L,10.20%,Management Consulting Services
RAS RESORTS AND APART HOT         ,49,23.21L,5.31%,"Other Hotels, Motels & Cruise Lines"
REETECH INTERNATIONAL CAR          ,48.99,23.2L,11.21%,Coal Wholesale
BRANDBUCKET MEDIA TECHNOL          ,8.94,23.16L,-74.45%,Other Advertising & Marketing
SAROJA PHARMA INDUSTRIES           ,48.25,23.12L,-8.96%,Other Pharmaceuticals
CLINITECH LABORATORY LIMI          ,89.03,23.09L,0.00%,Medical & Diagnostic Laboratories
SRM ENERGY LIMITED         ,20.87,23.01L,32.76%,
PRADHIN LIMITED         ,58.05,22.98L,38.88%,
ETT LIMITED         ,18.32,22.97L,-4.03%,Office Real Estate Development
SHREE METALLOYS LIMITED         ,40,22.95L,11.14%,Metal Merchant Wholesale
DUKE OFFSHORE LIMITED         ,19.73,22.91L,94.00%,Other Marine Port Services
MARG TECHNO PROJECTS LIMI          ,30.75,22.91L,21.88%,Other Corporate Financial Services
GAUTAM EXIM LIMITED         ,62.3,22.9L,-15.12%,Other Corporate Financial Services
GENOMIC VALLEY BIOTECH LI         ,62.5,22.78L,66.93%,
MANSI FINANCE CHENNAI LIM         ,53.69,22.77L,50.01%,
MILESTONE GLOBAL LIMITED         ,36.08,22.73L,99.89%,Construction Material Wholesale
DIGGI MULTITRADE LIMITED          ,19.63,22.67L,-32.10%,Residential Real Estate Services
GOLECHHA GLOBAL FINANCE L         ,34.53,22.66L,138.96%,Other Corporate Financial Services
SWARNA SECURITIES LIMITED         ,60.09,22.61L,55.88%,Shell Companies
USHA MARTIN EDUCATION SOL        ,7.3,22.57L,17.74%,Professional & Business Education
ATLAS CYCLES HARYANA LIMI         ,29,22.5L,-.--%,Other Recreational Products
VELAN HOTELS LIMITED         ,6.09,22.46L,-2.25%,Hotels & Motels
RR FINANCIAL CONSULTANTS          ,17.87,22.46L,13.97%,Brokerage Services
VIVANZA BIOSCIENCES LIMIT         ,4.47,22.43L,-58.50%,Other Pharmaceuticals
FRANKLIN LEASING AND FINA         ,11.9,22.41L,16.55%,Other Consumer Lending
YORK EXPORTS LIMITED         ,58.6,22.39L,35.30%,Other Apparel & Accessories
SHREE KARTHIK PAPERS LIMI         ,10.63,22.39L,-24.34%,Other Paper Products
GARWARE SYNTHETICS LIMITE         ,31.51,22.28L,93.91%,
NEUEON TOWERS LIMITED         ,3.41,22.2L,2.40%,"Iron, Steel Mills & Foundries"
FRUITION VENTURE LIMITED         ,44.25,22.19L,-6.61%,Other Investment Management & Fund Operators
POLO HOTELS LIMITED         ,8.44,22.16L,-18.85%,Hotels & Motels
LIME CHEMICALS LIMITED         ,27.8,2.1M,-4.96%,
BHARAT BHUSHAN FINANCE CO         ,52.16,2.09M,53.55%,Other Corporate Financial Services
HISAR SPINNING MILLS LIMI         ,46.76,2.08M,6.27%,Yarn Goods
N B FOOTWEAR LIMITED         ,13.18,2.08M,97.31%,Other Footwear
SONALIS CONSUMER PRODUCTS          ,87.5,2.08M,126.80%,Health Food Stores
UNITED CREDIT LIMITED         ,32.67,2.07M,42.48%,Other Consumer Lending
A AND M JUMBO BAGS LIMITE         ,15.75,2.07M,-22.60%,Plastic Containers & Packaging
MPL PLASTICS LIMITED         ,14.11,2.07M,-13.86%,"Other Appliances, Tools & Housewares"
MADHYA PRADESH TODAY MEDI         ,37.85,2.06M,-21.96%,Newspaper Publishing
TRILIANCE POLYMERS LIMITE         ,35.43,2.06M,170.66%,
ESHA MEDIA RESEARCH LIMIT         ,22.53,2.06M,534.65%,Market Research
S M GOLD LIMITED          ,17.08,2.05M,-15.70%,Jewelry
STEP TWO CORPORATION LIMI         ,38.35,2.05M,80.30%,
BRIGHT SOLAR LIMITED         ,8.35,2.04M,36.89%,Photovoltaic Solar Systems & Equipment
AMRAPALI FINCAP LIMITED         ,12.72,2.04M,4.95%,Other Consumer Lending
ALPS INDUSTRIES LIMITED        ,4.28,2.04M,94.55%,Yarn Goods
ENBEE TRADE AND FINANCE L         ,11.72,2.03M,-42.75%,Other Corporate Financial Services
SHANTI OVERSEAS INDIA LIM         ,16.81,2.03M,-5.56%,Other Food Processing
BOHRA INDUSTRIES LIMITED          ,11.86,2.02M,-55.66%,Fertilizer
VIVAA TRADECOM LIMITED          ,43,2.02M,46.81%,Other Apparel & Accessories
ORTIN GLOBAL LIMITED          ,22.22,2.02M,-3.48%,Other Pharmaceuticals
THE FIRST CUSTODIAN FUND          ,110.41,2.02M,84.35%,Brokerage Services
SARDA PROTEINS LTD         ,97.9,2.02M,130.30%,"Starch, Vegetable Fat & Oil Manufacturing"
GLOBE MULTI VENTURES LIMI          ,28.84,2.01M,14.54%,Other Investment Banking & Brokerage Services
CONTINENTAL CHEMICALS LIM         ,76,2.01M,6.82%,Other Household Products
KACHCHH MINERALS LIMITED         ,32.16,2.01M,6.81%,Other Construction Materials
OROSIL SMITHS INDIA LIMIT         ,4.11,2.01M,-8.67%,Jewelry
KOURA FINE DIAMOND JEWELR          ,46.19,2.01M,0.00%,
NEELKANTH LIMITED         ,37,2.01M,5.71%,Food Wholesale
ADOR MULTIPRODUCTS LIMITE         ,37.3,2M,-8.11%,Other Personal Products
HATHWAY BHAWANI CABLETEL          ,19.77,2M,8.27%,Cable Service Providers
SHREE HANUMAN SUGAR INDUS          ,8.88,2M,27.95%,Sugar & Artificial Sweeteners
MAITRI ENTERPRISES LIMITE         ,36.06,1.99M,-3.92%,Pharmaceuticals Wholesale
BOTHRA METALS AND ALLOYS          ,9.45,1.99M,-29.27%,Other Aluminum
AHIMSA INDUSTRIES LIMITED         ,30.35,1.98M,101.66%,Other Specialty Chemicals
PASARI SPINNING MILLS LIM         ,12.14,1.97M,62.52%,Other Textiles & Leather Goods
JATTASHANKAR INDUSTRIES L         ,39.35,1.96M,72.97%,
BERYL DRUGS LIMITED         ,31.83,1.96M,43.96%,Other Pharmaceuticals
SYNTHIKO FOILS LIMITED         ,98.58,1.95M,-9.93%,Other Non-Paper Containers & Packaging
PANABYTE TECHNOLOGIES LIM         ,39.54,1.94M,143.32%,
RAJDARSHAN INDUSTRIES LIM         ,54.78,19.41L,28.74%,Commercial Equipment Rental
PHOTOQUIP INDIA LIMITED         ,28.89,19.36L,24.15%,Photographic Equipment
ROTOGRAPHICS INDIA LIMITE          ,45.01,19.34L,21.52%,
WHITE ORGANIC RETAIL LIMI          ,5.02,19.33L,-32.25%,Other Food Retail & Distribution
SARUP INDUSTRIES LIMITED         ,49.43,19.18L,18.54%,Other Footwear
ASIA PACK LIMITED         ,61.8,19.14L,77.59%,
STERLING GREENWOODS LIMIT         ,45.04,18.99L,33.93%,Other Real Estate Development & Operations
TCI FINANCE LIMITED        ,12.56,18.92L,217.97%,Other Consumer Lending
CRP RISK MANAGEMENT LIMIT         ,9.66,18.9L,-58.89%,Other Business Support Services
ORGANIC COATINGS LIMITED         ,19.5,18.78L,126.22%,Other Specialty Chemicals
MITSHI INDIA LIMITED         ,17.57,18.77L,-31.55%,Fishing & Farming Wholesale
MANAV INFRA PROJECTS LIMI         ,25,18.64L,76.68%,Highway & Bridge Construction
MANRAJ HOUSING FINANCE LI         ,32.8,18.64L,-13.37%,
MOONGIPA CAPITAL FINANCE          ,52.38,18.59L,112.93%,Other Consumer Lending
SOVEREIGN DIAMONDS LIMITE         ,26.92,18.59L,12.17%,
AVASARA FINANCE LIMITED         ,31.14,18.58L,33.94%,
TARAI FOODS LIMITED         ,10.11,18.57L,-11.39%,Frozen Food Manufacturing
COASTAL ROADWAYS LIMITED         ,37.5,18.55L,-20.28%,Other Ground Freight & Logistics
SATRA PROPERTIES INDIA LI        ,0.87,18.51L,-8.42%,Other Real Estate Development & Operations
INTEGRATED CAPITAL SERVIC         ,4.22,18.43L,-1.86%,
OCTAL CREDIT CAPITAL LIMI         ,32.3,18.38L,86.49%,
GTN TEXTILES LIMITED         ,13.18,18.31L,3.29%,Land Division & Subdivision
SVARAJ TRADING AND AGENCI         ,10.42,18.27L,60.31%,Other Investment Banking & Brokerage Services
TRANSWIND INFRASTRUCTURES         ,23.95,18.24L,36.08%,Other Construction & Engineering
YASHRAJ CONTAINEURS LIMIT         ,9,18.21L,-20.77%,Other Non-Paper Containers & Packaging
TOKYO FINANCE LIMITED         ,21.5,18.14L,33.13%,
SKYLINE VENTURES INDIA LI         ,38.31,18.13L,351.77%,
SRI NACHAMMAI COTTON MILL         ,36.87,18.01L,11.39%,Other Textiles & Leather Goods
GILADA FINANCE INVESTMENT         ,10.62,17.99L,-9.08%,Other Corporate Financial Services
DHANUKA REALTY LIMITED         ,18,17.96L,20.00%,Other Real Estate Development & Operations
SPS INTERNATIONAL LIMITED         ,35.51,17.96L,11.77%,
TIMES GREEN ENERGY INDIA           ,90.3,17.93L,41.09%,
ALEXANDER STAMPS AND COIN         ,16.42,17.91L,-8.11%,Other Miscellaneous Specialty Retailers
PERFECT OCTAVE MEDIA PROJ         ,4.53,17.89L,115.71%,Other Entertainment Production
MEYER APPAREL LIMITED         ,1.77,17.86L,-19.55%,Other Apparel & Accessories
DALAL STREET INVESTMENTS          ,484.4,17.86L,22.56%,
RAUNAQ LNTERNATIONAL LIMI         ,42.5,17.77L,32.90%,Other Construction & Engineering
TRIVENI ENTERPRISES LIMIT         ,2.47,17.76L,-47.45%,Textiles & Leather Goods Wholesale
DAPS ADVERTISING LIMITED          ,28.55,17.72L,-5.15%,Advertising Agency
PRISM MEDICO AND PHARMACY         ,24.03,17.7L,-21.26%,Fishing & Farming Wholesale
NPR FINANCE LIMITED         ,24.32,1.76M,48.29%,Other Investment Banking & Brokerage Services
KONARK SYNTHETIC LIMITED         ,24.77,1.75M,83.07%,Other Textiles & Leather Goods
SHIRPUR GOLD REFINERY LIM         ,5.02,1.75M,-.--%,Gold Refining
VIVO COLLABORATION SOLUTI          ,74.95,1.74M,-16.72%,Other Integrated Telecommunications Services
HARMONY CAPITAL SERVICES          ,51.04,1.74M,13.22%,Other Corporate Financial Services
ARTIFICIAL ELECTRONICS IN         ,130.93,1.73M,2225.58%,
RAJPUTANA INVESTMENT FINA         ,47.35,1.73M,43.48%,Diversified Investment Services
PRIMA AGRO LIMITED         ,27,1.72M,-5.16%,Animal Feed
AMIABLE LOGISTICS INDIA L          ,82.45,1.72M,0.55%,Other Highways & Rail Tracks
RAPID INVESTMENTS LIMITED         ,109.96,1.72M,4.72%,
TRADE WINGS LIMITED         ,48,1.72M,-.--%,
BISIL PLAST LIMITED         ,2.61,1.71M,23.11%,
R J SHAH COMPANY LIMITED          ,513,1.71M,42.50%,
KAKATIYA TEXTILES LIMITED         ,23.17,1.7M,-5.12%,Other Textiles & Leather Goods
EASTERN SILK INDUSTRIES L        ,1.8,1.7M,-25.00%,Other Textiles & Leather Goods
KUSH INDUSTRIES LIMITED         ,9.47,1.69M,27.11%,Other Textiles & Leather Goods
LADAM AFFORDABLE HOUSING           ,7.82,1.69M,-3.10%,
POLYMAC THERMOFORMERS LIM         ,28.5,1.68M,-25.61%,Plastic Containers & Packaging
ABHISHEK FINLEASE LIMITED         ,33.08,1.68M,47.68%,Management Consulting Services
AROMA ENTERPRISES INDIA L         ,28.5,1.68M,-5.00%,
RAJASTHAN TUBE MANUFACTUR         ,32.78,1.68M,-22.06%,
MODERN SHARES AND STOCKBR         ,49.76,1.68M,82.27%,
JAGSONPAL FINANCE LEASING         ,26.08,1.68M,443.33%,
MEHTA INTEGRATED FINANCE          ,26.7,1.68M,32.70%,Diversified Investment Services
ARYAVAN ENTERPRISE LIMITE          ,34.66,1.68M,7.98%,
RAAMA PAPER MILLS LIMITED         ,14.74,1.68M,-34.89%,Other Paper Products
MIDAS INFRA TRADE LIMITED         ,1.15,1.67M,-.--%,Jewelry
LONGVIEW TEA COMPANY LIMI         ,47.64,1.67M,90.48%,Other Food Retail & Distribution
BIL ENERGY SYSTEMS LIMITE         ,0.66,1.66M,-.--%,Other Electronic Equipment & Parts
UNITED INTERACTIVE LIMITE         ,79.97,1.66M,26.96%,
SK INTERNATIONAL EXPORT L          ,19,1.66M,6.15%,Other Apparel & Accessories
ASHTASIDHHI INDUSTRIES LI         ,18.45,1.65M,53.88%,
THE AMALGAMATED ELECTRICI         ,52.39,1.65M,37.87%,
SHALIMAR AGENCIES LIMITED          ,46,1.65M,-14.18%,Other IT Services & Consulting
VIKALP SECURITIES LIMITED         ,42.94,1.65M,267.01%,
SONI MEDICARE LIMITED          ,33.55,1.65M,22.80%,"Hospitals, Clinics & Primary Care Services"
SURYAVANSHI SPINNING MILL         ,27.85,1.64M,7.95%,Yarn Goods
SIMPLEX MILLS COMPANY LIM         ,"4,669.30",1.64M,30.01%,Other Textiles & Leather Goods
DELTA INDUSTRIAL RESOURCE          ,24.19,1.64M,35.06%,
AMRAWORLD AGRICO LIMITED         ,1.18,1.64M,5.36%,
CATVISION LIMITED         ,25.42,16.35L,-17.52%,Other Communications & Networking
SEA TV NETWORK LIMITED         ,11.17,16.34L,60.72%,Cable Service Providers
LIPPI SYSTEMS LIMITED         ,19.49,16.25L,46.98%,
DISHA RESOURCES LIMITED         ,18.92,16.24L,37.10%,Other Apparel & Accessories
ESAAR INDIA LIMITED         ,6.65,16.22L,-17.29%,Other Investment Banking & Brokerage Services
VELOX INDUSTRIES LIMITED         ,17.01,16.18L,-.--%,
SMVD POLY PACK LIMITED         ,14.15,16.16L,31.63%,Plastic Containers & Packaging
LYNX MACHINERY AND COMMER         ,131.75,16.12L,20.87%,
AMARNATH SECURITIES LIMIT         ,44,16.11L,-16.82%,Investment Management
EUROTEX INDUSTRIES AND EX        ,16.2,16.09L,37.29%,Other Textiles & Leather Goods
INDIA LEASE DEVELOPMENT L         ,9.15,16.05L,-22.13%,
LORDS ISHWAR HOTELS LIMIT         ,17.98,16L,-1.75%,
RISA INTERNATIONAL LIMITE         ,0.92,15.99L,12.20%,Other Textiles & Leather Goods
STELLAR CAPITAL SERVICES          ,5.35,15.93L,24.42%,Other Corporate Financial Services
EKENNIS SOFTWARE SERVICE           ,99.75,15.87L,16.06%,Other IT Services & Consulting
SANATHNAGAR ENTERPRISES L         ,44.23,15.83L,142.76%,
FUTURE SUPPLY CHAIN SOLUT          ,2.86,15.81L,-74.12%,Freight Logistics
SHAH FOODS LIMITED         ,221.8,15.81L,27.11%,
CUBICAL FINANCIAL SERVICE         ,2.03,15.79L,32.68%,
LIBORD SECURITIES LIMITED         ,26.8,15.77L,134.88%,
RAJ PACKAGING INDUSTRIES          ,29.68,15.74L,-1.07%,Other Non-Paper Containers & Packaging
PADMANABH ALLOY POLYMERS           ,23.97,15.62L,19.85%,Other Specialty Chemicals
TRINITY LEAGUE INDIA LIMI         ,15.75,15.59L,-3.43%,Management Consulting Services
COLINZ LABORATORIES LIMIT         ,50.82,15.58L,27.05%,Generic Pharmaceuticals
ABATE AS INDUSTRIES LIMIT         ,24.7,15.56L,9.78%,Other Corporate Financial Services
SUN RETAIL LIMITED          ,0.84,15.55L,-12.50%,"Starch, Vegetable Fat & Oil Manufacturing"
SHUKRA BULLIONS LIMITED         ,25.7,15.55L,68.08%,
PREMIER LIMITED         ,4.07,15.51L,29.21%,Other Industrial Machinery & Equipment
ELEGANT FLORICULTURE AGRO         ,6.33,15.46L,-10.85%,Other Fishing & Farming
UTL INDUSTRIES LIMITED         ,4.07,15.45L,87.56%,Other Real Estate Development & Operations
SAIANAND COMMERCIAL LIMIT         ,0.55,15.45L,3.77%,Shell Companies
MEHTA SECURITIES LIMITED         ,41.85,15.43L,31.60%,
PANTH INFINITY LIMITED         ,6.86,15.38L,-7.42%,Apparel Wholesale
UNIROYAL MARINE EXPORTS L         ,19.48,15.36L,57.22%,
DHANADA CORPORATION LIMIT         ,2.3,15.35L,17.35%,"Other Hotels, Motels & Cruise Lines"
BRIDGE SECURITIES LIMITED          ,3.97,15.28L,145.67%,Other Investment Banking & Brokerage Services
JAKHARIA FABRIC LIMITED         ,31.5,15.27L,-6.80%,Other Textiles & Leather Goods
SHREE STEEL WIRE ROPES LI         ,38.66,15.23L,4.77%,"Iron, Steel Mills & Foundries"
SURYA INDIA LIMITED          ,18.25,15.21L,-.--%,
PARMAX PHARMA LIMITED          ,34,15.18L,4.39%,
SUPERTEX INDUSTRIES LIMIT         ,11.32,15.17L,11.31%,Other Textiles & Leather Goods
RAASI REFRACTORIES LIMITE         ,25.52,15.1L,17.50%,Other Construction Materials
INDO EURO INDCHEM LIMITED         ,13.39,15.09L,-3.32%,Other Commodity Chemicals
ARIHANT S SECURITIES LIMI         ,24.28,15.03L,36.40%,
SAB EVENTS GOVERNANCE NOW         ,12.61,15.02L,106.72%,
S V TRADING AND AGENCIES          ,7.35,15L,-.--%,
PANAFIC INDUSTRIALS LIMIT         ,1.59,14.99L,44.55%,Other Corporate Financial Services
BERYL SECURITIES LIMITED         ,25.01,14.98L,-6.68%,
SOUTHERN INFOSYS LIMITED          ,26.23,14.97L,34.72%,
VISHVPRABHA VENTURES LIMI         ,54.63,14.85L,-42.49%,Other Construction & Engineering
RAJASTHAN CYLINDERS AND C         ,36.5,14.84L,-0.52%,
ANJANI FINANCE LIMITED         ,12.75,14.84L,27.76%,Other Corporate Financial Services
PRATIKSHA CHEMICALS LIMIT         ,22,14.78L,1.43%,Other Specialty Chemicals
JINDAL LEASEFIN LIMITED          ,41.2,14.78L,-8.44%,
UNJHA FORMULATIONS LIMITE         ,27.6,14.78L,69.43%,
INTERACTIVE FINANCIAL SER          ,45.21,14.78L,161.48%,
