Name,Stock_price,Currency,Market Valuation,variation,Industry
AZRIELI GROUP LTD.,"24,740.00",ILa,8.03B,3.91%,Other Real Estate Development & Operations
BANAN REAL ESTATE COMPANY,5.33,SAR,282M,-15.40%,Other Real Estate Development & Operations
BARWA REAL ESTATE COMPANY Q.P.S.C.,2.67,QAR,285.39Cr,-7.74%,Other Real Estate Development & Operations
BATI EGE GAYRIMENKUL YATIRIM ORTAKLIGI,3.35,TRY,8.13Cr,14.73%,Other Real Estate Development & Operations
BIG SHOPPING CENTERS LTD,"40,250.00",ILa,263.79Cr,8.29%,Other Real Estate Development & Operations
BRACK CAPITAL PROPERTIES N.V,"29,900.00",ILa,63Cr,23.15%,Other Real Estate Development & Operations
CANADA GLOBAL (T.R) LTD,262,ILa,3.05Cr,2.66%,Other Real Estate Development & Operations
CARASSO REAL ESTATE LTD,"2,536.00",ILa,368M,-2.65%,Other Real Estate Development & Operations
COMMERCIAL REAL ESTATE COMPANY K.P.S.C.,0.157,KWD,931M,53.92%,Other Real Estate Development & Operations
COMPREHENSIVE LAND DEVELOPMENT AND INVESTMENT COMPANY (P.L.C),0.97,JOD,1.37Cr,14.12%,Other Real Estate Development & Operations
COPPER FOR COMMERCIAL INVESTMENT & REAL ESTATE DEVELOPMENT,0.639,EGP,6.88M,77.50%,Other Real Estate Development & Operations
DALQAN REAL ESTATE COMPANY K.S.C. (PUBLIC),0.127,KWD,25M,-13.61%,Other Real Estate Development & Operations
DAR AL ARKAN REAL ESTATE DEVELOPMENT COMPANY,14.78,SAR,4.28B,4.08%,Other Real Estate Development & Operations
DAR AL-THURAYA REAL ESTATE CO. K.S.C. (PUBLIC),0.103,KWD,4.94Cr,-20.77%,Other Real Estate Development & Operations
DARAT JORDAN HOLDINGS COMPANY,0.45,JOD,6.51M,-11.76%,Other Real Estate Development & Operations
DEERA INVESTMENT & REAL ESTATE DEVELOPMENT CO.,0.5,JOD,28.21M,-7.41%,Other Real Estate Development & Operations
DEYAAR DEVELOPMENT,0.67,AED,80Cr,-2.90%,Other Real Estate Development & Operations
DIMENSIONS: JORDAN AND EMIRATES COMMERCIAL INVESTMENTS CORPORATION,4.6,JOD,32.44L,67.27%,Other Real Estate Development & Operations
DISCOUNT INVESTMENT CORPORATION LTD.,326.2,ILa,13Cr,-8.19%,Other Real Estate Development & Operations
DORSEL HOLDINGS LTD,"1,270.00",ILa,7.61Cr,7.72%,Other Real Estate Development & Operations
EDIP GAYRIMENKUL YATIRIM SANAYI VE TICARET,21.24,TRY,3.9Cr,45.11%,Other Real Estate Development & Operations
EGYPTIANS FOR HOUSING & DEVELOPMENT CO.,0.376,EGP,25.9M,18.61%,Other Real Estate Development & Operations
EGYPTIANS FOR INVESTMENT & URBAN DEVELOPMENT,0.198,EGP,6.09M,-63.33%,Other Real Estate Development & Operations
EL KAHERA HOUSING,2.42,EGP,4.45Cr,83.19%,Other Real Estate Development & Operations
ELBIT IMAGING LTD.,375.2,ILa,1.05Cr,-4.84%,Other Real Estate Development & Operations
EL-EBOUR CO. FOR REAL ESTATE INVESTMENT S.A.E.,7.18,EGP,5.89M,-40.07%,Other Real Estate Development & Operations
ELECTRA REAL ESTATE LTD.,"3,938.00",ILa,61Cr,-5.11%,Other Real Estate Development & Operations
EMAAR DEVELOPMENT,8.5,AED,9.12B,18.88%,Other Real Estate Development & Operations
EMAAR MISR FOR DEVELOPMENT COMPANY (S.A.E.),7.06,EGP,66Cr,88.77%,Other Real Estate Development & Operations
EMAAR PROPERTIES,8.47,AED,20.07B,6.94%,Other Real Estate Development & Operations
EMAAR THE ECONOMIC CITY,8.5,SAR,257.95Cr,6.92%,Other Real Estate Development & Operations
ENMA AL RAWABI COMPANY,20.9,SAR,223M,12.97%,Other Real Estate Development & Operations
ENTKAEYA FOR INVESTMENT AND REAL ESTATE DEVELOPMENT COMPANY (P.L.C.),0.52,JOD,17.2L,-3.70%,Other Real Estate Development & Operations
ESHRAQ INVESTMENTS,0.308,AED,224M,-29.68%,Other Real Estate Development & Operations
EZDAN HOLDING GROUP Q.P.S.C.,0.72,QAR,524.6Cr,-16.08%,Other Real Estate Development & Operations
FIRST JORDAN INVESTMENT COMPANY PLC,0.27,JOD,28.57M,-6.90%,Other Real Estate Development & Operations
G CITY LTD,"1,194.00",ILa,59Cr,-1.32%,Other Real Estate Development & Operations
GAV-YAM LANDS CORP. LTD,"2,920.00",ILa,176.29Cr,-2.67%,Other Real Estate Development & Operations
GEFFEN RESIDENCE & RENEWAL LTD,59.9,ILa,35.07M,28.27%,Other Real Estate Development & Operations
GULF CANADIAN COMPANY FOR ARAB REAL ESTATE INVESTMENT,28.34,EGP,29.05L,55.89%,Other Real Estate Development & Operations
HAGAG EUROPE DEVELOPMENT Z.F. LTD,484,ILa,66.92M,-6.15%,Other Real Estate Development & Operations
HAGAG GROUP REAL ESTATE ENTREPRENEURSHIP LTD,"1,619.00",ILa,26Cr,10.89%,Other Real Estate Development & Operations
HALK GAYRIMENKUL YATIRIM ORTAKLIGI,2.66,TRY,245M,-27.72%,Other Real Estate Development & Operations
"HIGH PERFORMANCE REAL ESTATE INVESTMENTS CO.,P.L.C.",0.27,JOD,4.57M,-18.18%,Other Real Estate Development & Operations
HIRON-TRADE INVESTMENTS & INDUSTRIAL BUILDINGS LTD,"2,09,890.00",ILa,26Cr,11.64%,Other Real Estate Development & Operations
I.E.S HOLDINGS LTD,"20,850.00",ILa,326M,-14.44%,Other Real Estate Development & Operations
INJAZ FOR DEVELOPMENT AND PROJECTS COMPANY P.L.C,0.37,JOD,1.97Cr,54.17%,Other Real Estate Development & Operations
INJAZZAT REAL ESTATE DEVELOPMENT COMPANY K.P.S.C.,0.106,KWD,12Cr,21.84%,Other Real Estate Development & Operations
INTER GAMMA INVESTMENT COMPANY LTD,"6,127.00",ILa,3.38Cr,4.75%,Other Real Estate Development & Operations
INT'L ARABIAN DEVELOPMENT AND INVESTMENT TRADING CO.,0.35,JOD,14.81L,-40.68%,Other Real Estate Development & Operations
ISMAILIA DEVELOPMENT AND REAL ESTATE CO,15.78,EGP,11.92M,-72.30%,Other Real Estate Development & Operations
ISRAEL CANADA (T.R) LTD,"1,404.00",ILa,124.7Cr,29.76%,Other Real Estate Development & Operations
ISRAS HOLDINGS LTD,"30,000.00",ILa,523M,0.00%,Other Real Estate Development & Operations
ITTIFAK HOLDING,2.68,TRY,6.04Cr,-19.28%,Other Real Estate Development & Operations
JABAL OMAR DEVELOPMENT COMPANY,26.95,SAR,8.26B,20.31%,Other Real Estate Development & Operations
JERUSALEM REAL ESTATE INVESTMENT COMPANY PLC,0.28,USD,28L,-.--%,Other Real Estate Development & Operations
JORDAN DECAPOLIS PROPERTIES,0.24,JOD,15.83M,-11.11%,Other Real Estate Development & Operations
JORDAN INTERNATIONAL INVESTMENT CO.,0.8,JOD,11.29M,-13.04%,Other Real Estate Development & Operations
JORDANIAN REAL ESTATE COMPANY FOR DEVELOPMENT,0.5,JOD,24.33M,-5.66%,Other Real Estate Development & Operations
JORDANIAN SPECIALIZED INVESTMENTS COMPANY,1.61,JOD,32.7L,159.68%,Other Real Estate Development & Operations
KARDAN ISRAEL LTD,230,ILa,89.71M,6.78%,Other Real Estate Development & Operations
KARDAN N.V.,3,ILa,200K,-38.78%,Other Real Estate Development & Operations
K–RFEZ GAYRIMENKUL YATIRIM ORTAKLIGI,30.82,TRY,5.84Cr,2.53%,Other Real Estate Development & Operations
KILER HOLDING ANONIM SIRKETI,30.24,TRY,1.48B,-11.68%,Other Real Estate Development & Operations
KNOWLEDGE ECONOMIC CITY COMPANY,15.26,SAR,1.39B,8.84%,Other Real Estate Development & Operations
KUWAIT BUSINESS TOWN REAL ESTATE COMPANY - KPSC,0.0546,KWD,10Cr,-28.25%,Other Real Estate Development & Operations
KUWAIT EMIRATES HOLDING COMPANY K.S.C.P.,0.053,KWD,3.06Cr,55.88%,Other Real Estate Development & Operations
KUWAIT REAL ESTATE COMPANY K.P.S.C.,0.234,KWD,742M,20.99%,Other Real Estate Development & Operations
KUWAIT REAL ESTATE HOLDING COMPANY K.P.S.C (HOLDING),0.0315,KWD,1.94Cr,-7.35%,Other Real Estate Development & Operations
KUZUGRUP GAYRIMENKUL YATIRIM ORTAKLIGI,20.14,TRY,12Cr,-4.73%,Other Real Estate Development & Operations
LAHAV LR REAL ESTATE LTD,325.8,ILa,221M,-9.27%,Other Real Estate Development & Operations
LAND UNITED REAL ESTATE COMPANY K.S.C. (CLOSED),0.068,KWD,3.34Cr,-.--%,Other Real Estate Development & Operations
MABANEE COMPANY K.P.S.C.,0.859,KWD,3.92B,8.01%,Other Real Estate Development & Operations
MADINET MASR FOR HOUSING AND DEVELOPMENT,4.03,EGP,176M,-0.74%,Other Real Estate Development & Operations
MANAZEL,0.342,AED,243M,-2.29%,Other Real Estate Development & Operations
MANAZEL HOLDING COMPANY K.P.S.C.,0.0337,KWD,47.48M,21.66%,Other Real Estate Development & Operations
MARSEILLE ALMASREIA ALKHALEGEYA FOR HOLDING INVESTMENT SAE,3.38,EGP,1.44Cr,125.33%,Other Real Estate Development & Operations
MASHAER HOLDING COMPANY K.S.C.P.,0.0696,KWD,36.54M,26.09%,Other Real Estate Development & Operations
MAZAYA REAL ESTATE DEVELOPMENT Q.P.S.C.,0.587,QAR,161M,-18.81%,Other Real Estate Development & Operations
MELISRON LTD.,"27,890.00",ILa,3.56B,-0.60%,Other Real Estate Development & Operations
MENA FOR TOURISTIC & REAL ESTATE INVESTMENT,1.94,EGP,96.21L,71.83%,Other Real Estate Development & Operations
MENA REAL ESTATE COMPANY - KSCP,0.0834,KWD,37.41M,194.70%,Other Real Estate Development & Operations
MESHULAM LEVINSTEIN CONTRACTING & ENGINEERING LTD.,"25,160.00",ILa,25Cr,-14.97%,Other Real Estate Development & Operations
METHAQ REAL ESTATE INVESTMENT COMPANY,3.24,JOD,4.34Cr,12.11%,Other Real Estate Development & Operations
METTMANN,1.93,EUR,0,-.--%,Other Real Estate Development & Operations
MHR GAYRIMENKUL YATIRIM ORTAKLIGI ANONIM SIRKETI,4.41,TRY,107M,-15.03%,Other Real Estate Development & Operations
MIRLAND DEVELOPMENT CORPORATION PLC,2.5,ILa,133K,-82.88%,Other Real Estate Development & Operations
MISHORIM REAL ESTATE INVESTMENTS LTD,689,ILa,63.89M,-3.77%,Other Real Estate Development & Operations
MIVNE REAL ESTATE (K.D) LTD,923.2,ILa,187.62Cr,-13.66%,Other Real Estate Development & Operations
MUNSHAAT REAL ESTATE PROJECTS COMPANY K.S.C.P.,0.138,KWD,15Cr,-9.80%,Other Real Estate Development & Operations
MYDAS REAL ESTATE INVESTMENTS LTD,44.6,ILa,12.02M,-16.79%,Other Real Estate Development & Operations
NATIONAL REAL ESTATE COMPANY - K.P.S.C.,0.0743,KWD,488M,17.94%,Other Real Estate Development & Operations
NETANEL MENIVIM LTD.,205.8,ILa,15.77M,9.47%,Other Real Estate Development & Operations
NOOR CAPITAL MARKETS FOR DIVERSIFIED INVESTMENTS,1.57,JOD,22.15L,-15.59%,Other Real Estate Development & Operations
NORSTAR HOLDINGS INC,997.2,ILa,169M,0.73%,Other Real Estate Development & Operations
PALESTINE INVESTMENT & DEVELOPMENT CO.,1.93,JOD,13.18M,1.58%,Other Real Estate Development & Operations
PALESTINE REAL ESTATE INVESTMENT LIMITED,0.3,JOD,26.98M,-14.29%,Other Real Estate Development & Operations
PALM HILLS DEVELOPMENTS S.A.E.,5.99,EGP,361M,125.19%,Other Real Estate Development & Operations
PASIFIK GAYRIMENKUL YATIRIM ORTAKLIGI,1.59,TRY,225M,-6.74%,Other Real Estate Development & Operations
PEKER GAYRIMENKUL YATIRIM ORTAKLIGI ANONIM SIRKETI,5.17,TRY,98.27M,-84.23%,Other Real Estate Development & Operations
POLYGON REAL ESTATE LTD,"3,870.00",ILa,5.26Cr,20.34%,Other Real Estate Development & Operations
PROPERTY & BUILDING CORP. LTD.,"21,200.00",ILa,417M,-3.81%,Other Real Estate Development & Operations
Q HOLDING,3.15,AED,13.75B,0.64%,Other Real Estate Development & Operations
QATAR CINEMA AND FILM DISTRIBUTION CO. (Q.P.S.C),2.7,QAR,46.58M,-6.90%,Other Real Estate Development & Operations
RAK PROPERTIES,1.07,AED,86Cr,-4.89%,Other Real Estate Development & Operations
RAVAD LTD,815,ILa,5.82Cr,27.60%,Other Real Estate Development & Operations
RAY TLV GROUP LTD,56.3,ILa,11.56L,-42.26%,Other Real Estate Development & Operations
REAL ESTATE & INVESTMENT PORTFOLIO CO.,0.61,JOD,5.16M,-4.69%,Other Real Estate Development & Operations
REAL ESTATE DEVELOPMENT COMPANY PLC,0.53,JOD,35.03M,-26.39%,Other Real Estate Development & Operations
REAL ESTATE EGYPTIAN CONSORTIUM S.A.E,0.704,EGP,5.77M,-40.34%,Other Real Estate Development & Operations
RED SEA INTERNATIONAL COMPANY,38.5,SAR,315M,62.45%,Other Real Estate Development & Operations
REMCO TOURISM VILLAGES CONSTRUCTION,3.66,EGP,1.85Cr,-3.94%,Other Real Estate Development & Operations
RONESANS GAYRIMENKUL YATIRIM,105.6,TRY,1.03B,0.00%,Other Real Estate Development & Operations
SALAM INTERNATIONAL INVESTMENT LIMITED Q.P.S.C.,0.685,QAR,215M,0.29%,Other Real Estate Development & Operations
SALHIA REAL ESTATE COMPANY K.S.C.P.,0.437,KWD,82Cr,6.95%,Other Real Estate Development & Operations
SANAM REAL ESTATE COMPANY K.S.C.(PUBLIC),0.178,KWD,60.93M,16.80%,Other Real Estate Development & Operations
SAUDI REAL ESTATE COMPANY,22.86,SAR,214.87Cr,43.41%,Other Real Estate Development & Operations
SEKER GAYRIMENKUL YATIRIM ORTAKLIGI,4.11,TRY,9.88Cr,-30.29%,Other Real Estate Development & Operations
SHEMEN YIELDING REAL ESTATE LTD,"1,462.00",ILa,148M,-30.94%,Other Real Estate Development & Operations
"SIXTH OF OCTOBER FOR DEVELOPMENT AND INVESTMENT COMPANY ""SODIC"" (S.A.E.)",51.86,EGP,379M,130.80%,Other Real Estate Development & Operations
SPECIALIZED INVESTMENT COMPOUNDS COMPANY,0.8,JOD,88.03L,-5.88%,Other Real Estate Development & Operations
SUFRIN HOLDINGS LTD.,640.1,ILa,26.53M,-11.99%,Other Real Estate Development & Operations
SUMMIT REAL ESTATE HOLDINGS LTD,"5,140.00",ILa,940M,-4.81%,Other Real Estate Development & Operations
SUMOU REAL ESTATE COMPANY,43.1,SAR,57Cr,34.74%,Other Real Estate Development & Operations
SUR TATIL EVLERI GAYRIMENKUL YATIRIM ORTAKLIGI ANONIM SIRKETI,58.55,TRY,288M,95.69%,Other Real Estate Development & Operations
SURA DEVELOPMENT AND INVESTMENT COMPANY (P.L.C),0.76,JOD,34.11L,-2.56%,Other Real Estate Development & Operations
TAIBA INVESTMENT COMPANY,44.75,SAR,3.13B,67.29%,Other Real Estate Development & Operations
TALAAT MOUSTAFA GROUP HOLDING,55.5,EGP,234.78Cr,129.81%,Other Real Estate Development & Operations
TAMDEEN REAL ESTATE COMPANY - KPSC,0.36,KWD,47Cr,0.28%,Other Real Estate Development & Operations
TRKER PROJE GAYRIMENKUL VE YATIRIM GELISTIRME,515.5,TRY,110M,10.31%,Other Real Estate Development & Operations
TECOM GROUP,3.02,AED,4.04B,9.82%,Other Real Estate Development & Operations
THE ISRAEL LAND DEVELOPMENT COMPANY LTD.,"2,950.00",ILa,323M,-14.42%,Other Real Estate Development & Operations
THE LEBANESE COMPANY FOR THE DEVELOPMENT AND RECONSTRUCTION OF BEIRUT CENTRAL DISTRICT S.A.L.,82,USD,13.53B,-7.97%,Other Real Estate Development & Operations
TIJARA & REAL ESTATE INVESTMENT COMPANY K.S.C.P.,0.0577,KWD,69.88M,-1.03%,Other Real Estate Development & Operations
UNICAP INVESTMENT AND FINANCE COMPANY K.S.C.P.,0.204,KWD,151M,128.19%,Other Real Estate Development & Operations
UNION LAND DEVELOPMENT COMPANY PLC,2.16,JOD,13Cr,-.--%,Other Real Estate Development & Operations
UNION PROPERTIES,0.345,AED,402M,18.97%,Other Real Estate Development & Operations
UNITED DEVELOPMENT COMPANY Q.P.S.C.,1.094,QAR,1.06B,2.72%,Other Real Estate Development & Operations
VERA KONSEPT GAYRIMENKUL YATIRIM ORTAKLIGI ANONIM SIRKETI,2.98,TRY,72.9M,-40.20%,Other Real Estate Development & Operations
VILLAR INTERNATIONAL LTD.,"14,690.00",ILa,702M,-6.61%,Other Real Estate Development & Operations
VISION SIGMA LTD.,"3,498.00",ILa,12.13M,-27.26%,Other Real Estate Development & Operations
VITANIA LTD.,"1,889.00",ILa,238M,-7.40%,Other Real Estate Development & Operations
WAHAT AL ZAWEYA HOLDING,4.07,AED,256.27Cr,-.--%,Other Real Estate Development & Operations
Y.B URBAN RENEWAL - RESIDENTIAL DEVELOPMENT LTD,"1,686.00",ILa,1.4Cr,249.07%,Other Real Estate Development & Operations
YBOX REAL ESTATE LTD.,78.7,ILa,71.98M,32.72%,Other Real Estate Development & Operations
ZIRAAT GAYRIMENKUL YATIRIM ORTAKLIGI,6.25,TRY,86Cr,10.23%,Other Real Estate Development & Operations
ALSHAMEKHA FOR REALESTATE AND FINANCIAL INVESTMENTS CO.LTD,1.3,JOD,22.01L,-5.80%,Other Real Estate Services
LADUN INVESTMENT COMPANY,3.67,SAR,492M,-38.83%,Other Real Estate Services
MAKKAH CONSTRUCTION AND DEVELOPMENT COMPANY,113.4,SAR,506.02Cr,52.62%,Other Real Estate Services
PANDORA INVESTMENTS PUBLIC LIMITED,0.08,EUR,3.8Cr,8.11%,Other Real Estate Services
REAL-ESTATE TRADE CENTERS COMPANY K.P.S.C,0.0572,KWD,25.98M,28.54%,Other Real Estate Services
SHIRA REAL ESTATE DEVELOPMENT AND INVESTMENTS COMPANY(P.L.C),0.38,JOD,83.27L,-5.00%,Other Real Estate Services
UNITED REAL ESTATE COMPANY K.S.C.P.,0.0462,KWD,197M,-0.22%,Other Real Estate Services
ZAHRAA EL MAADI INVESTMENT AND DEVELOPMENT COMPANY SAE,6.9,EGP,74.68M,-5.35%,Other Real Estate Services
PHINERGY LTD.,275.1,ILa,67.03M,-40.21%,Other Renewable Energy Equipment & Services
PRIME ENERGY P.E. LTD,440,ILa,36.12M,205.98%,Other Renewable Energy Equipment & Services
SMART GNES ENERJISI TEKNOLOJILERI ARASTIRMA VE GELISTIRME RETIM SANAYI VE TICARET,44.04,TRY,769M,-20.36%,Other Renewable Energy Equipment & Services
AL JAZEIRA SERVICES COMPANY SAOG,0.212,OMR,106M,-2.30%,Other Restaurants & Bars
AL-TAJAMOUAT FOR CATERING AND HOUSING CO PLC,0.49,JOD,6.91M,8.89%,Other Restaurants & Bars
BAHRAIN FAMILY LEISURE COMPANY B.S.C.,0.09,BHD,85.89L,38.46%,Other Restaurants & Bars
BAYDONER RESTORANLARI,24.78,TRY,5.85Cr,10.67%,Other Restaurants & Bars
RAYDAN FOOD COMPANY,28.2,SAR,12Cr,4.44%,Other Restaurants & Bars
PRIORTECH LTD,"18,090.00",ILa,58Cr,47.04%,Other Semiconductors
ABU DHABI SHIP BUILDING,3.87,AED,223M,-5.61%,Other Shipbuilding
HAT-SAN GEMI INSAA BAKIM ONARIM DENIZ NAKLIYAT SANAYI VE TICARET ANONIM SIRKETI,47.46,TRY,313M,-3.57%,Other Shipbuilding
ABRA INFORMATION TECHNOLOGIES LTD.,261.7,ILa,71.55M,-14.25%,Other Software
AGROTECH YUKSEK TEKNOLOJI VE YATIRIM ANONIM SIRKETI,16.08,TRY,57Cr,33.31%,Other Software
ALQEMAM FOR COMPUTER SYSTEMS CO.,100,SAR,8.32Cr,7.64%,Other Software
ARD GRUP BILISIM TEKNOLOJILERI ANONIM SIRKETI,35.54,TRY,174M,36.20%,Other Software
AXILION SMART MOBILITY LTD,44.4,ILa,4.56M,-32.52%,Other Software
E-DATA TEKNOLOJI PAZARLAMA ANONIM SIRKETI,17.38,TRY,8.12Cr,7.01%,Other Software
FORESIGHT AUTONOMOUS HOLDINGS LTD.,10.5,ILa,12.93M,-22.22%,Other Software
FORTE BILGI ILETISIM TEKNOLOJILERI VE SAVUNMA SANAYI,51.5,TRY,10Cr,-22.18%,Other Software
GIX INTERNET LTD,12.8,ILa,14L,-62.02%,Other Software
GLASSBOX LTD,"3,760.00",ILa,13Cr,64.19%,Other Software
HITIT BILGISAYAR HIZMETLERI,78.85,TRY,300M,38.45%,Other Software
KRON TEKNOLOJI,19.61,TRY,5.01Cr,48.86%,Other Software
KVASIR EDUCATION LTD,909.9,ILa,96.87L,9.44%,Other Software
MIA TEKNOLOJI ANONIM SIRKETI,49.28,TRY,708M,36.51%,Other Software
NICE LTD.,"66,120.00",ILa,11.24B,-8.74%,Other Software
OBASE BILGISAYAR VE DANISMANLIK HIZMETLERI TICARET,34.16,TRY,46.74M,-11.76%,Other Software
PASIFIK DONANIM VE YAZILIM BILGI TEKNOLOJILERI ANONIM SIRKETI,77.8,TRY,314M,0.00%,Other Software
PROPDO LTD,"1,998.00",ILa,26.73M,-14.40%,Other Software
MARTI GAYRIMENKUL YATIRIM ORTAKLIGI,4.68,TRY,5.29Cr,3.82%,Other Specialized REITs
GULF INTERNATIONAL CHEMICALS SAOG,0.07,OMR,38.18L,6.06%,Other Specialty Chemicals
KOZA POLYESTER SANAYI VE TICARET ANONIM SIRKETI,49.94,TRY,325M,26.57%,Other Specialty Chemicals
POLITEKNIK METAL SANAYI VE TICARET ANONIM SIRKETI,"6,887.50",TRY,767M,-55.13%,Other Specialty Chemicals
CVK MADEN ISLETMELERI SANAYI VE TICARET ANONIM SIRKETI,555.5,TRY,69Cr,80.78%,Other Specialty Mining & Metals
OMAN CHROMITE COMPANY SAOG,4.2,OMR,36M,-3.73%,Other Specialty Mining & Metals
EMAS D–KM SANAYI,3.82,TRY,88.94M,-13.96%,Other Steel
EMTAS ELIK MAKINA SANAYI VE TICARET,9.97,TRY,15Cr,-1.97%,Other Steel
AL EZZ DEKHEILA STEEL COMPANY - ALEXANDRIA S.A.E.,"1,250.00",EGP,500M,-.--%,Other Steel
ARABIAN PIPES COMPANY,136,SAR,55Cr,59.87%,Other Steel
BURSA CIMENTO FABRIKASI,7.66,TRY,336M,9.74%,Other Steel
EAST PIPES INTEGRATED COMPANY FOR INDUSTRY,150.8,SAR,1.27B,85.03%,Other Steel
EGYPTIAN IRON AND STEEL COMPANY,39,EGP,781M,150.64%,Other Steel
EZZ STEEL COMPANY (S.A.E),103,EGP,112.52Cr,11.96%,Other Steel
GAON GROUP LTD.,265.8,ILa,3.27Cr,-7.13%,Other Steel
GROUP FIVE PIPE SAUDI COMPANY,46.25,SAR,341M,46.83%,Other Steel
INDUSTRIAL ENGINEERING COMPANY FOR CONSTRUCTION AND DEVELOPMENT,22.2,EGP,66.22M,74.12%,Other Steel
IZMIR DEMIR ELIK SANAYI ANONIM SIRKETI,5.52,TRY,245M,-4.50%,Other Steel
MISR NATIONAL STEEL - ATAQA,3.55,EGP,87.33M,44.90%,Other Steel
MOLAN STEEL COMPANY,3.4,SAR,24.1M,-39.72%,Other Steel
NATIONAL METAL MANUFACTURING AND CASTING CO.,16.18,SAR,155M,-18.53%,Other Steel
NATIONAL STEEL INDUSTRY CO. LTD.,0.84,JOD,34.86L,-20.00%,Other Steel
ZAMIL INDUSTRIAL INVESTMENT COMPANY,25.5,SAR,415M,-2.86%,Other Steel
AKARY FOR INDUSTRIES AND REAL ESTATE INVESTMENTS CO. P.L.C.,8.4,JOD,5.92M,-9.68%,Other Textiles & Leather Goods
AKSA AKRILIK KIMYA SANAYII,8.77,TRY,1.02B,2.06%,Other Textiles & Leather Goods
ARABIA COTTON GINNING COMPANY,7.63,EGP,4.09Cr,25.08%,Other Textiles & Leather Goods
AVGOL INDUSTRIES 1953 LTD,129,ILa,10Cr,-19.53%,Other Textiles & Leather Goods
BILICI YATIRIM SANAYI VE TICARET,22.98,TRY,70.12M,58.29%,Other Textiles & Leather Goods
BIRLIK MENSUCAT TICARET VE SANAYI ISLETMESI,6.02,TRY,82.23L,51.64%,Other Textiles & Leather Goods
BOSSA TICARET VE SANAYI ISLETMELERI T.A.S.,16.02,TRY,307M,69.84%,Other Textiles & Leather Goods
GOLDEN TEXTILES & CLOTHES WOOL,23.96,EGP,7.02M,-7.92%,Other Textiles & Leather Goods
HATEKS HATAY TEKSTIL ISLETMELERI,12.18,TRY,23.13M,15.89%,Other Textiles & Leather Goods
ISBIR SENTETIK DOKUMA SANAYI,10.11,TRY,13Cr,-1.37%,Other Textiles & Leather Goods
MENDERES TEKSTIL SANAYI VE TICARET ANONIM SIRKETI,12.52,TRY,10Cr,48.46%,Other Textiles & Leather Goods
MUSCAT THREAD MILLS SAOG,0.099,OMR,4.22M,68.37%,Other Textiles & Leather Goods
OMAN TEXTILE HOLDING COMPANY SAOG,0.57,OMR,0,-.--%,Other Textiles & Leather Goods
RODRIGO TEKSTIL SANAYI VE TICARET,21.44,TRY,17.62M,61.51%,Other Textiles & Leather Goods
SASA POLYESTER SANAYI,4.75,TRY,591.5Cr,4.50%,Other Textiles & Leather Goods
THE JORDAN WORSTED MILLS CO. LTD.,2.01,JOD,4.25Cr,-6.94%,Other Textiles & Leather Goods
UNIRAB POLVARA SPINNING & WEAVING CO.,9.78,EGP,1.88Cr,64.92%,Other Textiles & Leather Goods
YNSA YNL SANAYI VE TICARET,7.96,TRY,113M,-12.42%,Other Textiles & Leather Goods
GLOBRANDS LTD.,"41,550.00",ILa,13Cr,-1.94%,Other Tobacco
UNION TOBACCO & CIGARETTE INDUSTRIES CO.,0.24,JOD,5.74M,-70.00%,Other Tobacco
ALKHORAYEF WATER AND POWER TECHNOLOGIES COMPANY,178,SAR,167.53Cr,28.72%,Other Water Utilities
CELLCOM ISRAEL LTD.,"1,570.00",ILa,714M,5.09%,Other Wireless Telecommunications Services
KUWAIT TELECOMMUNICATIONS COMPANY K.S.C.P.,0.523,KWD,170.97Cr,-7.10%,Other Wireless Telecommunications Services
MOBILE TELECOMMUNICATIONS COMPANY K.S.C.P.,0.456,KWD,645.85Cr,-10.06%,Other Wireless Telecommunications Services
MOBILE TELECOMMUNICATIONS COMPANY SAUDI ARABIA,11.16,SAR,270.18Cr,-20.74%,Other Wireless Telecommunications Services
SUDATEL TELECOM GROUP LIMITED,0.253,AED,91.1M,-17.32%,Other Wireless Telecommunications Services
VODAFONE QATAR P.Q.S.C.,1.795,QAR,208.42Cr,-5.87%,Other Wireless Telecommunications Services
ZAIN BAHRAIN B.S.C.,0.112,BHD,108M,-15.79%,Other Wireless Telecommunications Services
ARABIAN CONTRACTING SERVICES COMPANY,207.8,SAR,283.3Cr,-13.78%,Outdoor Advertising
ALMAWARID MANPOWER COMPANY,117.2,SAR,474M,-6.09%,Outsourcing & Staffing Services
ARAB COMPANY FOR PAINTS PRODUCTS,7.25,JOD,1.53Cr,-.--%,Paint & Coating
DYO BOYA FABRIKALARI SANAYI VE TICARET,65.2,TRY,191M,168.53%,Paint & Coating
MARSHALL BOYA VE VERNIK SANAYII,"1,655.00",TRY,55Cr,-10.20%,Paint & Coating
ALKIM KAGIT SANAYI VE TICARET,25.4,TRY,14Cr,-2.83%,Paper Mills & Products
KONYA KAGIT SANAYI VE TICARET,44.08,TRY,171M,-6.21%,Paper Mills & Products
BAHRAIN CAR PARKS COMPANY (AMAKIN) B.S.C.,0.106,BHD,3.07Cr,17.78%,Parking Lot Operators
PARKIN COMPANY,3.7,AED,298.12Cr,0.00%,Parking Lot Operators
BORLEASE OTOMOTIV,38.2,TRY,196M,15.45%,Passenger Car Rental
DAR ALMARKABAH FOR RENTING CARS COMPANY,39,SAR,25.98M,-11.36%,Passenger Car Rental
GOTO LTD,450,ILa,6.33M,39.23%,Passenger Car Rental
